"Slider.v1.0.16b","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@0:1","I'm not sure how to use them, though","하지만 저는 어떻게 사용해야 할지 모르겠어요.","",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@0:2","If you put your mind to it, you can do it!","당신이라면 마음만 먹으면 하실 수 있을 거예요!","",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@1:0","Aha, you can connect them to the other giant magnets.","아하, 당신은 저걸 다른 거대 자석들과 연결할 수 있군요.","",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@1:1","Always good to have another tool in the toolkit.","도구 상자에 또 하나의 도구가 늘어나는 건 언제나 기분 좋죠.","",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@0:0","Halt! You do not have authorization to be here.","경고! 귀하는 이곳의 접근 권한이 없습니다.","",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@0:1","You do not have the intelligence to operate the button-operated magnet device.","귀하는 버튼 작동식 자석 장치를 조작할 지능이 부족합니다.","",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@0:2","Also, your hat looks stupid.","또한, 귀하의 모자는 멍청해 보입니다.","",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@0:3","Fine. Just keep pushing buttons and create a big human mess.","뭐, 좋습니다. 버튼을 누르고 계속 거대한 혼돈을 만드셔도 됩니다.","",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@1:0","Hmph. Not that impressive.","흠. 그다지 인상적이지 않습니다.","",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@1:1","Maybe you're okay for a human.","뭐, 인간 치고는 괜찮을 수도 있습니다.","",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@2:0","You know, these magnets have some charm to them.","이 자석들에게는 매력이 있는 것 같습니다.","",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@2:1","Your hat might have some charm to it too.","귀하의 모자에도 매력이 있을 수 있습니다.","",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@0:0","Heh, I'm not like the others.","흐흠, 저는 다른 로봇들과 다릅니다.","",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@0:1","People are so slow, but I can go... even faster! There's new speedrun tech!","인간들은 매우 느리지만, 저는... 더 빠릅니다! 새로운 스피드런 기술을 알려드리겠습니다!","",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@0:2","Conveyor moves don't count for Timed Gates! So much potential for optimization.","타일의 컨베이어 이동은 타임 게이트 이동 제한에 포함되지 않습니다! 최적화 가능성이 매우 높습니다.","",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@0:3","Now you can power all the inputs in so little moves.","이제 귀하는 매우 적은 이동으로 모든 입력을 활성화할 수 있습니다.","",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@0:4","Oh! Want me to restart this test gate?","오! 이 테스트 게이트를 재시작하길 원하십니까?","",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@0:5","Completed.","완료되었습니다.","",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@1:0","Woah! Maybe people can catch up to my speed.","와! 인간들도 제 속도를 따라잡을 수 있을지도 모릅니다.","",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@1:1","Don't forget to optimize where you can with Timed Gate tech!","타임 게이트 기술로 최적화할 수 있는 곳을 잊지 마십시오!","",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@1:2","Want me to restart this one here?","이것을 재시작하길 원하십니까?","",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@1:3","Completed.","완료되었습니다.","",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@2:0","That's a new PB! Nice!!","새로운 개인 최고 기록입니다! 훌륭합니다!!","",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@0:0","?? Where did you come from?","?? 너 지금 어디서 튀어 나온거야?","",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@0:1","Anyway, I have these buoys, it would be great if you could- ","어쨌든, 부표가 있는데 네가 이걸 가져가면 나한테 뭘 줄-","",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@0:2","Haha just kidding.","하하, 농담이야.","",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@0:3","Do whatever you want with my buoys.","내 부표 마음대로 써.","",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@1:0","Do whatever you want with my buoys.","내 부표 마음대로 써.","",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@1:1","No need to arrange them or anything.","정리할 필요도 없고.","",
"Map/EightPuzzle/STile (4)/Objects/3D Printer@HintBase:0","The base is right here to my left, but you'll probably need that Conductive Bob somehow!!!!","베이스는 바로 여기 왼쪽에 들어있지만 꺼내려면 아마 전도성 구슬이 필요할 거예요!!!!","",
"Map/EightPuzzle/STile (4)/Objects/3D Printer@HintWalls:0","The walls are up behind that giant door!!!!","벽은 저 거대한 문 뒤에 있습니다!!!!","",
"Map/EightPuzzle/STile (4)/Objects/3D Printer@HintWires:0","The wires are in the bottom-right of the Factory!!!!","전선은 공장 오른쪽 하단에 있습니다!!!!","",
"Map/EightPuzzle/STile (4)/Objects/3D Printer@RequirementsAll:0","I'll just need these materials: the base, the walls, and the wires!!!","베이스, 벽, 전선 이 재료들만 있으면 돼요!!!","",
"Map/EightPuzzle/STile (4)/Objects/3D Printer@RequirementsBase:0","the base","베이스","",
"Map/EightPuzzle/STile (4)/Objects/3D Printer@RequirementsStart:0","It still needs: ","아직 필요한 것 : ","",
"Map/EightPuzzle/STile (4)/Objects/3D Printer@RequirementsWalls:0","the walls","벽","",
"Map/EightPuzzle/STile (4)/Objects/3D Printer@RequirementsWires:0","the wires","전선","",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator@0:0","Check this out! Our printer just installed!","이거 보세요! 프린터가 방금 설치됐어요!","",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator@0:1","What? Oh I can print you one of those slider things, sure thing!!","뭐라고요? 아, 그 퍼즐 조각 같은 거 하나 프린트 해달라고요? 당연히 가능하죠!!","",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator@0:2","<var>FactoryPrinterParts</var>","<var>FactoryPrinterParts</var>","",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator@1:0","<var>FactoryPrinterParts</var>","<var>FactoryPrinterParts</var>","",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator@1:1","They should be scattered around the factory!!!!","공장 여기저기에 흩어져 있을 거예요!!!!","",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator@2:0","<var>FactoryPrinterPartsHint</var>","<var>FactoryPrinterPartsHint</var>","",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator@2:1","<var>FactoryPrinterParts</var>","<var>FactoryPrinterParts</var>","",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator@3:0","What?!!!! You already got all the parts?!!!!","뭐라고요?!!!! 벌써 모든 부품을 다 모으셨다고요?!!!!","",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator@3:1","Sure you can use my printer!!!!!","당연히 제 프린터 쓰셔도 돼요!!!!!","",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator@4:0","Radical, go print your piece!!!!","완전 멋져요, 가서 부품을 프린트하세요!!!!","",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator@5:0","I can't wait for this rocket ship to finish!!!!!","이 로켓이 완성되기만을 기다리고 있어요!!!!!
","",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator@6:0","A blackout?!?!?!?!?!?! The print isn't done though!!!!!!","정전이라고요?!?!?!?!?!?! 하지만 프린트가 아직 안 끝났는데요!!!!!!","",
"Map/EightPuzzle/STile (4)/Objects/BuildATileOperator@7:0","The rocket prototype finished, we're sending it to MRI!!!!!!!","로켓 프로토타입이 완성됐어요, MRI로 보내고 있어요!!!!!!!","",
"Map/EightPuzzle/STile (5)/All Tile Maps/Housing Tile Map/Decorations/Catherine/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (5)/All Tile Maps/Housing Tile Map/Decorations/Catherine/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (5)/All Tile Maps/Housing Tile Map/Decorations/Catherine@0:0","A time traveller?!","시간 여행자라고?!","",
"Map/EightPuzzle/STile (5)/All Tile Maps/Housing Tile Map/Decorations/Catherine@0:1","That Fezziwig fellow might be able to do it after all...","그 페지위그 노인네가 결국 해냈나 보네...","",
"Map/EightPuzzle/STile (5)/All Tile Maps/Housing Tile Map/Decorations/Catherine@0:2","Well, I hope you enjoy your time here, whenever you came from.","뭐, 네가 어느 시대에서 왔든 여기서 시간 잘 보내길 바라.","",
"Map/EightPuzzle/STile (5)/All Tile Maps/Housing Tile Map/Decorations/Catherine@1:0","You're back again!","또 왔구나!","",
"Map/EightPuzzle/STile (5)/All Tile Maps/Housing Tile Map/Decorations/Catherine@1:1","I better start packing then, we're finally saved!","그럼 이제 짐 싸야겠어, 우리가 드디어 구원받은 거야!","",
"Map/EightPuzzle/STile (5)/All Tile Maps/Housing Tile Map/Decorations/Catherine@2:0","Heh, that Fezziwig fellow really pulled it off, huh.","흐, 그 페지위그 노인네가 정말로 끝냈군.","",
"Map/EightPuzzle/STile (5)/All Tile Maps/Housing Tile Map/Decorations/Catherine@2:1","And just in the nick of time too.","게다가 딱 제시간에 말이야.","",
"Map/EightPuzzle/STile (5)/Objects/Choob/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (5)/Objects/Choob/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (5)/Objects/Choob@0:0","What the frick bro! Why won't this stupid WiFi work?!","젠장, 이게 뭐야! 이 멍청한 와이파이는 왜 안 되는 거지?!","",
"Map/EightPuzzle/STile (5)/Objects/Choob@0:1","The freakin bot that was supposed to fix this is who-knows-where.","이걸 고치기로 했던 로봇 녀석은 어디로 사라졌는지 모르겠어.","",
"Map/EightPuzzle/STile (5)/Objects/Choob@0:2","Here bro, you have a go at it. You know how Timed Gates work right?","오, 네가 한번 해봐. 타임 게이트 어떻게 작동하는지 알지?","",
"Map/EightPuzzle/STile (5)/Objects/Choob@0:3","You gotta power the stupid terminals marked on your map. They look like this one.","네 지도에 표시된 멍청한 터미널들에 전원을 넣어야 해. 이것처럼 생겼어.","",
"Map/EightPuzzle/STile (5)/Objects/Choob@1:0","Nice work bro!","잘했어!","",
"Map/EightPuzzle/STile (5)/Objects/Choob@1:1","Stupid bots can't do anything right.","멍청한 로봇들은 제대로 하는 게 하나도 없다니깐.","",
"Map/EightPuzzle/STile (5)/Objects/Choob@2:0","Oh God, I wonder what caused this now.","세상에, 이번엔 또 뭐가 문제일까.","",
"Map/EightPuzzle/STile (5)/Objects/Choob@3:0","Bro, you won't believe it!","아, 믿기 힘들 거야!","",
"Map/EightPuzzle/STile (5)/Objects/Choob@3:1","These robots went into overtime with us to bring you back.","이 로봇들이 너를 데려오려고 우리랑 함께 초과 근무했다고.","",
"Map/EightPuzzle/STile (5)/Objects/Choob@3:2","Maybe they aren't so bad after all.","어쩌면 저 녀석들도 그렇게 나쁘지만은 않은 것 같아.","",
"Map/EightPuzzle/STile (5)/Objects/Choob@4:0","Bro the WiFi hasn't gone down since you left.","네가 떠난 후로 와이파이가 한 번도 끊긴 적이 없어.","",
"Map/EightPuzzle/STile (5)/Objects/Gene/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (5)/Objects/Gene/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (5)/Objects/Gene@0:0","Yo all the servers are down! I can't work like this.","어이, 서버가 다 꺼졌어! 이래서는 일을 못 하겠잖아.","",
"Map/EightPuzzle/STile (5)/Objects/Gene@0:1","We need the <wavy>Mega Crystal</wavy> to power them.","<wavy>메가 크리스탈</wavy>로 전원을 공급해야 해.","",
"Map/EightPuzzle/STile (5)/Objects/Gene@1:0","Shut up! Hey, you! The Mega Crystal overloaded! <wavy>Power these servers</wavy>, we can fix it.","닥쳐! 거기, 너! 메가 크리스탈이 과부하됐어! <wavy>이 서버들에 전원</wavy> 넣어, 우리가 고칠 수 있어.","",
"Map/EightPuzzle/STile (5)/Objects/Gene@2:0","Run the reset script on this PC here!","여기 이 PC에서 리셋 스크립트 실행해!","",
"Map/EightPuzzle/STile (5)/Objects/Gene@2:1","I'll make sure the voltage stays at a safe level.","내가 전압이 안전한 수준으로 유지되는지 확인할게.","",
"Map/EightPuzzle/STile (5)/Objects/Gene@3:0","Alright the voltage looks good...","좋아, 전압은 괜찮아 보여...","",
"Map/EightPuzzle/STile (5)/Objects/Gene@3:1","Nope that's not good not good at all.","아냐 이건 전혀 좋지 않아 전혀 좋지 않아...","",
"Map/EightPuzzle/STile (5)/Objects/Gene@3:2","Ctrl-C Ctrl-C Ctrl-C Ctrl-D Ctrl-D Come on come onnnn","Ctrl-C Ctrl-C Ctrl-C Ctrl-D Ctrl-D 제발, 제발, 되라고","",
"Map/EightPuzzle/STile (5)/Objects/Gene@4:0","WE GOT HIM! HE'S BACK!!","성공했어! 돌아왔어!!","",
"Map/EightPuzzle/STile (5)/Objects/Gene@4:1","Your idea worked SB-1, I can't believe it!","SB-1, 네 아이디어가 통했어, 믿을 수가 없어!","",
"Map/EightPuzzle/STile (5)/Objects/Gene@4:2","I'll never doubt you again!","다시는 널 의심하지 않을게!","",
"Map/EightPuzzle/STile (5)/Objects/Gene@5:0","Who knew, SB-1 actually cared a lot under that cold exterior.","누가 알았겠어, SB-1이 그 차가운 외모 아래 이렇게 세심한 면모가 숨겨져 있을 줄은.","",
"Map/EightPuzzle/STile (5)/Objects/Gene@5:1","He has a heart of gold.","금같은 마음을 가졌어.","",
"Map/EightPuzzle/STile (5)/Objects/Gene@5:2","And silicon.","그리고 실리콘도 곁들인.","",
"Map/EightPuzzle/STile (5)/Objects/Gene@6:0","Welcome back!","돌아온 걸 환영해!","",
"Map/EightPuzzle/STile (5)/Objects/ServerBot-1/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (5)/Objects/ServerBot-1/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (5)/Objects/ServerBot-1@0:0","No, Gene. You humans don't know how to operate the Mega Crystal.","아니요, 진. 인간들은 메가 크리스탈을 작동시키는 방법을 모릅니다.","",
"Map/EightPuzzle/STile (5)/Objects/ServerBot-1@1:0","Who could have seen this coming.","이런 일이 일어날 줄 누가 예측했겠습니까.","",
"Map/EightPuzzle/STile (5)/Objects/ServerBot-1@2:0","What.","뭐라고요.","",
"Map/EightPuzzle/STile (5)/Objects/ServerBot-1@2:1","Why did you run that. Stop. Abort.","왜 그것을 실행했습니까. 중지하십시오. 중단하십시오.","",
"Map/EightPuzzle/STile (5)/Objects/ServerBot-1@2:2","Do you know what's going to happen to him now? Who's going to take responsibility.","그에게 무슨 일이 일어날지 아십니까? 누가 책임을 질 것입니까.","",
"Map/EightPuzzle/STile (5)/Objects/ServerBot-1@3:0","Excellent execution Gene!","훌륭한 실행이었습니다, 진.","",
"Map/EightPuzzle/STile (5)/Objects/ServerBot-1@3:1","With this feat accomplished, I've increased your social credit to respectable levels.","이 업적으로 귀하의 사회 신용 점수를 존경할 만한 수준으로 상승시켰습니다.","",
"Map/EightPuzzle/STile (5)/Objects/ServerBot-1@3:2","I look forward to future engagements.","향후 협업을 기대하고 있습니다.","",
"Map/EightPuzzle/STile (5)/Objects/ServerBot-1@4:0","Your social credit is approaching the maximum.","귀하의 사회 신용 점수가 최대치에 근접하고 있습니다.","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@0:0","Woah?! Who are you? Oh hocus...","오?! 자네는 누군가? 이런...","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@0:1","Fantastic, my experiments are working! But...","굉장하군, 내 실험이 드디어 성공했어! 하지만...","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@0:2","Hmmm... I can try to send you back to the future, but you'll need to draw more power into that large crystal.","흠... 자네를 미래로 돌려보낼 수 있을 것 같긴 한데, 저 커다란 크리스탈에 더욱 많은 힘을 불어넣어야 할 거야.","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@0:3","You'll have to power the crystal from <wavy>both</wavy> sides.","크리스탈에 <wavy>양쪽</wavy>에서 힘을 불어넣어야 한다네.","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@0:4","Although... we don't have enough conductive bobs yet. One of your Sliders might be somewhere here.","그런데... 우리에겐 아직 전도성 구슬이 충분치 않아. 자네의 슬라이드 중 하나가 이 근처 어딘가에 있을 텐데...","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@1:0","Aha, almost back to the future! You'll need to draw more power into that large crystal.","오호, 거의 미래로 돌아갈 뻔했군! 저 큰 크리스탈에 더 많은 힘을 불어넣어야 해.","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@1:1","This spell needs the crystal powered from <wavy>both</wavy> sides.","이 주문은 크리스탈 <wavy>양쪽</wavy>에서 힘을 받아야 하네.","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@2:0","Looks prepared but... hm...","준비된 것 같지만... 흠...","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@2:1","Oh well. It's probably not a problem. Let's do this!","뭐, 아마 문제 없겠지. 어서 시작해 보세!","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@2:2","serbagraphy, le-rubidol plok- Uh oh!","세르바그라피, 레-루비돌 플록- 어라, 오!","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@3:0","WOAH","우와!!","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@3:1","Woah... woah.......","우와... 와.......","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@3:2","Are we back?? I felt our plane of existence... it almost broke...","우리가 지금 튕겨나온 건가?? 우리의 존재 차원이... 거의 깨질 뻔했어...","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@3:3","That was waaaayy too close.","지이이이인짜 아슬아슬했다네.","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@3:4","Oh! Is that one of my Artifacts you have? I didn't account for that...","오! 자네가 가진 게 내 유물 중 하나인가? 그건 계산에 넣지 않았었는데...","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@3:5","Well... now that that's all over I'll take things a bit more safely.","음... 이제 다 끝났으니 좀 더 안전하게 진행해야겠어.","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@3:6","Herm yes, a time Calibrator will do wonders for the safety of your trip to the future.","흠 그래, 시간 교정기가 자네가 미래로 가는 시간 여행을 더 안전하게 만들어 줄 거야.","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@4:0","Herm yes, a time Calibrator will do wonders for the safety of your trip to the future.","흠 그래, 시간 교정기가 자네가 미래로 가는 시간 여행을 더 안전하게 만들어 줄 거야.","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@4:1","Can you take a look around, one of these Sliders may have been affected.","주변을 좀 살펴보게. 이 슬라이드 중 하나가 방금 영향을 받았을 수도 있어.","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@5:0","You got the calibrator! We just need two power sources for the crystal again.","교정기를 구했군! 이제 크리스탈에 두 개의 전원만 더 연결하면 돼.","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@6:0","Alrighty, this time there should be no issues!","좋아, 이번에는 문제가 없을 거야!","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@6:1","If this works... I'll have all the time in the world to save everyone! It... It has to work!","이게 성공한다면... 모두를 구할 시간이 충분해질 거야! 반... 반드시 성공해야 해!","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@6:2","Serbagraphy, le-rubidol plokto heeliuop!","세르바그라피, 레-루비돌 플록토 힐리우옵!","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@6:3","Boomus unnus cilio pookietoff! <wavy>Here we gooooooooo!!</wavy>","부무스 운누스 칠리오 푸키토프! <wavy>자, 간다아아아!!</wavy>","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@7:0","Hmmm... how do I... Oh! You're back!","흠... 내가 어떻게... 오! 자네 돌아왔군!","",
"Map/EightPuzzle/STile (6)/All Tile Maps/Past Tile Maps/Objects/Fezziwig@7:1","What? No I haven't left my house since using up all my energy earlier.","뭐라고? 아니, 난 아까 모든 에너지를 써버린 후로 집을 나간 적이 없다네.","",
"Map/EightPuzzle/STile (6)/Objects/ConveyorOverrideRobot/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (6)/Objects/ConveyorOverrideRobot/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (6)/Objects/ConveyorOverrideRobot@0:0","So convenient.","매우 편리하군요.","",
"Map/EightPuzzle/STile (6)/Objects/ConveyorOverrideRobot@0:1","Someone else fixed the wifi for me, I don't have to do my job anymore.","다른 누군가가 저 대신 와이파이를 수리했습니다. 더 이상 제 업무를 수행할 필요가 없습니다.","",
"Map/EightPuzzle/STile (6)/Objects/ConveyorOverrideRobot@1:0","I'll call you if the wifi goes down again.","와이파이가 다시 고장 나면 귀하께 연락 드리겠습니다.","",
"Map/EightPuzzle/STile (6)/Objects/ConveyorOverwriteSign/Canvas/Dialogue","","","TinyUnicode;1",
