"Slider.v1.0.16b","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (7)","Treasure Chest","보물 상자","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (8)","Rose","장미","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (9)","Mushroom","버섯","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Breadge","Breadge","빵 조각","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Breadge/Breadge Total Text","9","9","PixelUnicode;8",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Crystal Sample","Crystal Sample","크리스탈 샘플","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Fezziwig gem","Magical Gem","마법의 보석","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem MountainKeys","Basement Key","지하실 열쇠","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Oil","Oil","기름","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Oil/Oil Total Text","4","4","PixelUnicode;8",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem StationKeys","Station Key","정거장 열쇠","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Special Items/Anchor","Anchor","닻","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Special Items/Boots","Boots","부츠","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Special Items/Boots Upgrade","Boots+","부츠+","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Special Items/Scroll of Realigning","Scroll of Realigning","재정렬의 두루마리","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Special Items/Scroll Scrap","Scroll Scap","두루마리 조각","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Text/ItemNameText","Collection","수집품","PixelUnicode;8",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel@Collection:0","Collection","수집품","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel@LegendaryCheeseburger:0","Legendary ""Burger""","전설의 ""버거""","",
"ArtifactCanvas/ArtifactFrame/ScreenMask/WorldMapPanel/Text/AreaNameText","Map","지도","PixelUnicode;8",
"ArtifactCanvas/ArtifactFrame/ScreenMask/WorldMapPanel/Text/AreaNameTextBG","Map","지도","PixelUnicodeFill;8",
"ArtifactCanvas/ArtifactFrame/Tabs/Realigning Tabs/LoadTextHolder/Load TMP Text","Load!","불러오기!","PixelUnicode;8",
"ArtifactCanvas/ArtifactFrame/Tabs/Realigning Tabs/SaveTextHolder/Save TMP Text","Save!","저장!","PixelUnicode;8",
