"Slider.v1.0.11","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@0:0","You’re awake! <var>Cat</var> has been acting... <wavy>strange.</wavy>","_ho_You’re awake! <var>Cat</var> has been acting... <wavy>strange.</wavy>_ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@0:1","It started when <var>Cat</var> touched that Artifact you brought back.","_ho_It started when <var>Cat</var> touched that Artifact you brought back._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@1:0","Can you check on <var>Cat</var> outside?","_ho_Can you check on <var>Cat</var> outside?_ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@10:0","...","_ho_..._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@2:0","Wha- What's happening?","_ho_Wha- What's happening?_ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@2:1","<var>CatUpper</var> NOOO","_ho_<var>CatUpper</var> NOOO_ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@2:2","W-what is taking you away? Why??","_ho_W-what is taking you away? Why??_ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@2:3","Wait. Where is... everything??","_ho_Wait. Where is... everything??_ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@2:4","Oh honey... you have to bring back <var>Cat</var>! I'll research what caused all this...","_ho_Oh honey... you have to bring back <var>Cat</var>! I'll research what caused all this..._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@3:0","Oh honey... you have to bring back <var>Cat</var>! I'll research what caused all this...","_ho_Oh honey... you have to bring back <var>Cat</var>! I'll research what caused all this..._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@3:1","It's even <var>Cat</var>'s birthday tomorrow.","_ho_It's even <var>Cat</var>'s birthday tomorrow._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@4:0","There's some global phenomenon that started last night.","_ho_There's some global phenomenon that started last night._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@4:1","Some people online have been calling it the ""Cataclysm"".","_ho_Some people online have been calling it the ""Cataclysm""._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@4:2","Parts of the world are missing. Void, just like we saw outside.","_ho_Parts of the world are missing. Void, just like we saw outside._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@4:3","Do you think that maybe...? No it can't be...","_ho_Do you think that maybe...? No it can't be..._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@4:4","Honey, maybe <var>Cat</var> fiddled with that Artifact you brought, and somehow caused this.","_ho_Honey, maybe <var>Cat</var> fiddled with that Artifact you brought, and somehow caused this._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@4:5","Oh, you found a piece of the world and were able to restore it?","_ho_Oh, you found a piece of the world and were able to restore it?_ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@4:6","Maybe... you can help fix this? Just please... be careful with that Artifact.","_ho_Maybe... you can help fix this? Just please... be careful with that Artifact._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@4:7","And if you can, please find <var>Cat</var>. I'm worried...","_ho_And if you can, please find <var>Cat</var>. I'm worried..._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@5:0","Isn't this ol' Cathy's cat? She has a ton of cats.","_ho_Isn't this ol' Cathy's cat? She has a ton of cats._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@5:1","Oh, she might know where <var>Cat</var> is!","_ho_Oh, she might know where <var>Cat</var> is!_ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@5:2","Sigh... everything reminds me of them.","_ho_Sigh... everything reminds me of them._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@6:0","Isn't this ol' Cathy's cat? I think her three cats are out again.","_ho_Isn't this ol' Cathy's cat? I think her three cats are out again._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@6:1","Oh, she might know where <var>Cat</var> is!","_ho_Oh, she might know where <var>Cat</var> is!_ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@6:2","Sigh... everything reminds me of them.","_ho_Sigh... everything reminds me of them._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@6:3","Cathy lives in the village center next to the bakery, but I don't think you have that slider yet.","_ho_Cathy lives in the village center next to the bakery, but I don't think you have that slider yet._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@7:0","Isn't this ol' Cathy's cat? I think her three cats are out again.","_ho_Isn't this ol' Cathy's cat? I think her three cats are out again._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@7:1","Oh, she might know where <var>Cat</var> is!","_ho_Oh, she might know where <var>Cat</var> is!_ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@7:2","Sigh... everything reminds me of them.","_ho_Sigh... everything reminds me of them._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@8:0","I just realized.","_ho_I just realized._ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@8:1","Has anyone been feeding <var>Cat</var>?","_ho_Has anyone been feeding <var>Cat</var>?_ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@9:0","What??","_ho_What??_ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@9:1","WHAT????","_ho_WHAT????_ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@9:2","Aliens?? Took <var>Cat</var>??","_ho_Aliens?? Took <var>Cat</var>??_ho_",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@9:3","They exist??","_ho_They exist??_ho_",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@0:0","Juliet, my love, where hast though disappeared to?!","_ho_Juliet, my love, where hast though disappeared to?!_ho_",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@1:0","Juliet, my love, wherefore art thou?!","_ho_Juliet, my love, wherefore art thou?!_ho_",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@2:0","Please bring my beloved back, lest I drink this poison!","_ho_Please bring my beloved back, lest I drink this poison!_ho_",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@2:1","Your cat? I care not! Where art thou, Juliet?!","_ho_Your cat? I care not! Where art thou, Juliet?!_ho_",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@3:0","Please bring my beloved back, lest I drink this poison!","_ho_Please bring my beloved back, lest I drink this poison!_ho_",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@4:0","Juliet, my beloved, where hath thou disappeared to now?","_ho_Juliet, my beloved, where hath thou disappeared to now?_ho_",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@4:1","Oh, what a tragic life I must endure. The cycle of dread continues.","_ho_Oh, what a tragic life I must endure. The cycle of dread continues._ho_",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@5:0","Oh Juliet! I'll
never leave
you again.","_ho_Oh Juliet! I'll
never leave
you again._ho_",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@6:0","Juliet, will you
be mine?
","_ho_Juliet, will you
be mine?
_ho_",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@7:0","...","_ho_..._ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@0:0","hmmm...","_ho_hmmm..._ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@0:1","oh! another person??","_ho_oh! another person??_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@0:2","something <wavy>freaky</wavy> is going on. the world's straight disappeared!","_ho_something <wavy>freaky</wavy> is going on. the world's straight disappeared!_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@0:3","check out this little slider thing i found. looks almost like a piece of the world","_ho_check out this little slider thing i found. looks almost like a piece of the world_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@1:0","omg... its back in the world again! how did you do that??","_ho_omg... its back in the world again! how did you do that??_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@1:1","say, you wouldnt be interested in a research assistant job, would you?","_ho_say, you wouldnt be interested in a research assistant job, would you?_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@1:2","no..? thats fine... um... the spots taken anyway...","_ho_no..? thats fine... um... the spots taken anyway..._ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@10:0","stand clear!!","_ho_stand clear!!_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@10:1","the caves await.","_ho_the caves await._ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@10:2","i heard there are more relics in there. im gonna follow the trail to the source.","_ho_i heard there are more relics in there. im gonna follow the trail to the source._ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@11:0","the caves await.","_ho_the caves await._ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@11:1","i heard there are more relics in there. im gonna follow the trail to the source.","_ho_i heard there are more relics in there. im gonna follow the trail to the source._ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@12:0","...","_ho_..._ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@2:0","so... what about these ruins.","_ho_so... what about these ruins._ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@3:0","ahA! it looks like those ruins pieces might connect!!","_ho_ahA! it looks like those ruins pieces might connect!!_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@4:0","an arrow? it must lead to a relic!","_ho_an arrow? it must lead to a relic!_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@4:1","how do i get there?","_ho_how do i get there?_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@4:2","this way? no...","_ho_this way? no..._ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@4:3","over here?","_ho_over here?_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@4:4","aHh im so lost! everything keeps moving!","_ho_aHh im so lost! everything keeps moving!_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@4:5","you! follow that arrow!","_ho_you! follow that arrow!_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@5:0","now these glyphs... we just need to find the final fragment.","_ho_now these glyphs... we just need to find the final fragment._ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@5:1","my research assistant was looking for it last. no idea where he is now...","_ho_my research assistant was looking for it last. no idea where he is now..._ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@6:0","you found chad?? tell him to bring me the final fragment already","_ho_you found chad?? tell him to bring me the final fragment already_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@7:0","tyy! now let me take a look...","_ho_tyy! now let me take a look..._ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@7:1","wOAH! everything is shakingggg","_ho_wOAH! everything is shakingggg_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@8:0","aMAZING! did you see that?!","_ho_aMAZING! did you see that?!_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@8:1","shoot! i got a bit carried away didnt i","_ho_shoot! i got a bit carried away didnt i_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@8:2","we need to <wavy>fix the village</wavy>!","_ho_we need to <wavy>fix the village</wavy>!_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@9:0","wow, everythings in the right place again, just like i remembered!","_ho_wow, everythings in the right place again, just like i remembered!_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@9:1","i think im onto something, explorer. these glyphs are related to whatever broke up the world.","_ho_i think im onto something, explorer. these glyphs are related to whatever broke up the world._ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@9:2","there's more in the caves up north. you should come!!","_ho_there's more in the caves up north. you should come!!_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@9:3","oh, make sure to grab a map from the Mayor first!","_ho_oh, make sure to grab a map from the Mayor first!_ho_",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@9:4","oh, make sure to grab a map from the Mayor first!","_ho_oh, make sure to grab a map from the Mayor first!_ho_",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@0:0","Not so fast squirt!","_ho_Not so fast squirt!_ho_",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@0:1","Get me some coffee first, damn youngin. I left it at the beach...","_ho_Get me some coffee first, damn youngin. I left it at the beach..._ho_",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@1:0","Not so fast squirt!","_ho_Not so fast squirt!_ho_",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@1:1","Get me some coffee- Already grabbed it, eh?","_ho_Get me some coffee- Already grabbed it, eh?_ho_",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@1:2","Hmph, already cold.","_ho_Hmph, already cold._ho_",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@2:0","Finally my damn coffee… Took you long enough.","_ho_Finally my damn coffee… Took you long enough._ho_",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@2:1","Would you leave me alone already!?","_ho_Would you leave me alone already!?_ho_",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@3:0","Leave me alone, kid.","_ho_Leave me alone, kid._ho_",
"Map/Village 8Puzzle/STile (4)/Objects/Kevin@0:0","Help! My buoys have gotten tangled up. Mind untanglin' them for me?","_ho_Help! My buoys have gotten tangled up. Mind untanglin' them for me?_ho_",
"Map/Village 8Puzzle/STile (4)/Objects/Kevin@1:0","Thanks a bundle! I don't have much, but you can have this strange junk I fished up.","_ho_Thanks a bundle! I don't have much, but you can have this strange junk I fished up._ho_",
"Map/Village 8Puzzle/STile (4)/Objects/Kevin@2:0","I'm heading to the beach soon. Rumor is there are new fish in the water.","_ho_I'm heading to the beach soon. Rumor is there are new fish in the water._ho_",
"Map/Village 8Puzzle/STile (4)/Objects/Kevin@3:0","Was gonna hit the ocean soon, but my boating license expired.","_ho_Was gonna hit the ocean soon, but my boating license expired._ho_",
"Map/Village 8Puzzle/STile (4)/Objects/Kevin@4:0","You've got your license! Hurry on now, let's set sail!","_ho_You've got your license! Hurry on now, let's set sail!_ho_",
"Map/Village 8Puzzle/STile (4)/Objects/Kevin@5:0","...","_ho_..._ho_",
"Map/Village 8Puzzle/STile (5)/All Tile Maps/House Tile Maps/Decorations/Dear Player Sign@0:0","Dear Player,","_ho_Dear Player,_ho_",
"Map/Village 8Puzzle/STile (5)/All Tile Maps/House Tile Maps/Decorations/Dear Player Sign@0:1","No, this cat is not used in the upcoming puzzles.","_ho_No, this cat is not used in the upcoming puzzles._ho_",
"Map/Village 8Puzzle/STile (5)/All Tile Maps/House Tile Maps/Decorations/Dear Player Sign@0:2","However, we will permit you to keep him for emotional support.","_ho_However, we will permit you to keep him for emotional support._ho_",
"Map/Village 8Puzzle/STile (5)/All Tile Maps/House Tile Maps/Decorations/Dear Player Sign@0:3","Please use him responsibly.","_ho_Please use him responsibly._ho_",
"Map/Village 8Puzzle/STile (5)/All Tile Maps/House Tile Maps/Decorations/Dear Player Sign@0:4","Sincerely, the Devs.","_ho_Sincerely, the Devs._ho_",
"Map/Village 8Puzzle/STile (5)/Objects/Juliet@0:0","My lover, my darling! Please bring him back lest I stab myself!","_ho_My lover, my darling! Please bring him back lest I stab myself!_ho_",
"Map/Village 8Puzzle/STile (5)/Objects/Juliet@1:0","Romeo? Wherefore art thou Romeo?","_ho_Romeo? Wherefore art thou Romeo?_ho_",
"Map/Village 8Puzzle/STile (5)/Objects/Juliet@2:0","Oh Romeo! You 
will never 
leave my 
sight again.","_ho_Oh Romeo! You 
will never 
leave my 
sight again._ho_",
"Map/Village 8Puzzle/STile (5)/Objects/Juliet@3:0","Yes, oh
my God, yes!","_ho_Yes, oh
my God, yes!_ho_",
"Map/Village 8Puzzle/STile (5)/Objects/Juliet@4:0","...","_ho_..._ho_",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@0:0","Somethin's wrong. The fish aren't coming upstream anymore. I'll be out of a job!","_ho_Somethin's wrong. The fish aren't coming upstream anymore. I'll be out of a job!_ho_",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@0:1","I could really use a fish right now, fish right now.","_ho_I could really use a fish right now, fish right now._ho_",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@1:0","Ah, the ocean! If only I knew how to fish the open seas.","_ho_Ah, the ocean! If only I knew how to fish the open seas._ho_",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@1:1","But alas, I can only fish the river by the waterfall.","_ho_But alas, I can only fish the river by the waterfall._ho_",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@2:0","The river's together... is there a traffic jam downstream?","_ho_The river's together... is there a traffic jam downstream?_ho_",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@2:1","Something fishy is going on here...","_ho_Something fishy is going on here..._ho_",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@3:0","The fish are coming back! Time to whip out the old pole.","_ho_The fish are coming back! Time to whip out the old pole._ho_",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@4:0","Heard there was one in the caves, but also pirates. Scary!","_ho_Heard there was one in the caves, but also pirates. Scary!_ho_",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@5:0","Good luck out there, say hi to <var>Cat</var>.","_ho_Good luck out there, say hi to <var>Cat</var>._ho_",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@5:1","I'm going back to fishing the river.","_ho_I'm going back to fishing the river._ho_",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@6:0","...","_ho_..._ho_",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@0:0","Hey there! Have you seen what's been going on lately?","_ho_Hey there! Have you seen what's been going on lately?_ho_",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@0:1","Chunks of land missing everywhere, and these little slider pieces popping out of the ground!","_ho_Chunks of land missing everywhere, and these little slider pieces popping out of the ground!_ho_",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@0:2","They've all been resurfacing ever since the earthquake last night.","_ho_They've all been resurfacing ever since the earthquake last night._ho_",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@0:3","I'm not sure how to make sense of it. Maybe I should go digging for them!","_ho_I'm not sure how to make sense of it. Maybe I should go digging for them!_ho_",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@1:0","Oh! Where'd you find that? That Archeologist was looking all over for that fragment.","_ho_Oh! Where'd you find that? That Archeologist was looking all over for that fragment._ho_",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@2:0","Did you hear? The railway in the Chloro Caves was shut down.","_ho_Did you hear? The railway in the Chloro Caves was shut down._ho_",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@2:1","Apparently the bridge was destroyed.","_ho_Apparently the bridge was destroyed._ho_",
