"Slider.v1.0.11","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Dev Console/Label","Dev Console","_ho_Dev Console_ho_",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Teleport Selector Button Pair/Holder/Label","Village","_ho_Village_ho_",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Teleport Selector Button Pair/TP Button/Text","Teleport","_ho_Teleport_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Control","Coming Soon!","_ho_Coming Soon!_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Control","Alt View","_ho_Alt View_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Control (1)","Pause","_ho_Pause_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Control A","(A) Action","_ho_(A) Action_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Control B","(B) Back","_ho_(B) Back_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Control X","(X) Action","_ho_(X) Action_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Control Y","(Y) Cycle","_ho_(Y) Cycle_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Move","Move","_ho_Move_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Right Aligned/Artifact","Artifact","_ho_Artifact_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Right Aligned/Move","Move","_ho_Move_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Right Aligned/Pause","Pause","_ho_Pause_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controls Text","Keyboard","_ho_Keyboard_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Action/Binding/Text","Control","_ho_Control_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Action/Control Label","Action","_ho_Action_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Alt View/Binding/Text","Control","_ho_Control_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Alt View/Control Label","Alt View","_ho_Alt View_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Cycle Equip/Binding/Text","Control","_ho_Control_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Cycle Equip/Control Label","Cycle","_ho_Cycle_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Keyboard Only/Label","Keyboard Only","_ho_Keyboard Only_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Down/Binding/Text","Control","_ho_Control_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Down/Control Label","Down","_ho_Down_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Left/Binding/Text","Control","_ho_Control_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Left/Control Label","Left","_ho_Left_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Right/Binding/Text","Control","_ho_Control_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Right/Control Label","Right","_ho_Right_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Up/Binding/Text","Control","_ho_Control_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Up/Control Label","Up","_ho_Up_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Open/Close Artifact/Binding/Text","Control","_ho_Control_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Open/Close Artifact/Control Label","Artifact","_ho_Artifact_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Pause/Binding/Text","Control","_ho_Control_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Pause/Control Label","Pause","_ho_Pause_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/ResetButtonHolder/Reset to Defaults Button/Text","Reset Keybinds","_ho_Reset Keybinds_ho_",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Rebinding Overlay/Text (TMP)","Rebinding Move Left...","_ho_Rebinding Move Left..._ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/Display Text","Display","_ho_Display_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@0","30","_ho_30_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@1","60","_ho_60_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@2","75","_ho_75_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@3","120","_ho_120_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@4","144","_ho_144_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@5","240","_ho_240_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@6","Uncapped","_ho_Uncapped_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Label","FPS","_ho_FPS_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@0","1280 x 720","_ho_1280 x 720_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@1","1280 x 800","_ho_1280 x 800_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@2","1366 x 768","_ho_1366 x 768_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@3","1920 x 1080","_ho_1920 x 1080_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@4","2560 x 1440","_ho_2560 x 1440_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@5","Native","_ho_Native_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Label","Resolution","_ho_Resolution_ho_",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/VSync/Label","VSync","_ho_VSync_ho_",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Big Text/Label","Bigger Text","_ho_Bigger Text_ho_",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Contrast Text/Label","Text Background","_ho_Text Background_ho_",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Hide Cursor/Label","Hide Cursor","_ho_Hide Cursor_ho_",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Pixel Font Alert/Label","Setting will be applied once you restart or return to main menu...
","_ho_Setting will be applied once you restart or return to main menu...
_ho_",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Pixel Font/Label","Pixel Font","_ho_Pixel Font_ho_",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Screen Shake Slider/Label","Screen Shake","_ho_Screen Shake_ho_",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/Options Text","Options","_ho_Options_ho_",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/FeedbackButtonHolder/Feedback Button/Text","Give Feedback (web)","_ho_Give Feedback (web)_ho_",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/List/Auto Move/Label","Auto Move
","_ho_Auto Move
_ho_",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/List/Colorblind Mode/Label","Colorblind Mode","_ho_Colorblind Mode_ho_",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/List/Mini Player Icon/Label","Mini Player Icon","_ho_Mini Player Icon_ho_",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/Misc Options Text","Miscellaneous","_ho_Miscellaneous_ho_",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/ResetButtonHolder/Reset to Defaults Button/Text","Reset All Settings","_ho_Reset All Settings_ho_",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Ambience Slider/Label","Ambience","_ho_Ambience_ho_",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Master Slider/Label","Master","_ho_Master_ho_",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Music Slider/Label","Music","_ho_Music_ho_",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Play Audio When Unfocused/Label","Audio when
Unfocused","_ho_Audio when
Unfocused_ho_",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Sound Slider/Label","Sound","_ho_Sound_ho_",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/Sound Text","Sound","_ho_Sound_ho_",
"UICanvas/OptionsMenu/SideNav/Cheats Button/Text","Cheats","_ho_Cheats_ho_",
"UICanvas/OptionsMenu/SideNav/Controls Button/Text","Controls","_ho_Controls_ho_",
"UICanvas/OptionsMenu/SideNav/Display Button/Text","Display","_ho_Display_ho_",
"UICanvas/OptionsMenu/SideNav/Misc Button/Text","Misc","_ho_Misc_ho_",
"UICanvas/OptionsMenu/SideNav/Options Button/Text","Options
","_ho_Options
_ho_",
"UICanvas/OptionsMenu/SideNav/Sound Button/Text","Sound","_ho_Sound_ho_",
"UICanvas/SavesPanel/Confirm Button Variant/Text","Confirm","_ho_Confirm_ho_",
"UICanvas/SavesPanel/LeftSaveBackground/Left Save Button/Text","[ Empty ]","_ho_[ Empty ]_ho_",
"UICanvas/SavesPanel/LeftSaveBackground/Left Save Button/Text/ProgressText","1/9","_ho_1/9_ho_",
"UICanvas/SavesPanel/LeftSaveBackground/Left Save Button/Text/TimeText","0h32
","_ho_0h32
_ho_",
"UICanvas/SavesPanel/MiddleSaveBackground/Middle Save Button/Text","Cat Name","_ho_Cat Name_ho_",
"UICanvas/SavesPanel/MiddleSaveBackground/Middle Save Button/Text/ProgressText","1/9","_ho_1/9_ho_",
"UICanvas/SavesPanel/MiddleSaveBackground/Middle Save Button/Text/TimeText","0h32
","_ho_0h32
_ho_",
"UICanvas/SavesPanel/ProgressText","Select Save","_ho_Select Save_ho_",
"UICanvas/SavesPanel/RightSaveBackground/Right Save Button/Text","[ Empty ]","_ho_[ Empty ]_ho_",
"UICanvas/SavesPanel/RightSaveBackground/Right Save Button/Text/ProgressText","1/9","_ho_1/9_ho_",
"UICanvas/SavesPanel/RightSaveBackground/Right Save Button/Text/TimeText","0h32
","_ho_0h32
_ho_",
"WorldCanvas/Press any Key","[press any key to begin]","_ho_[press any key to begin]_ho_",
