"Slider.v1.0.11","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@0:1","I, Chad, have in my possession one of the precious sliders you're collecting.","_ho_I, Chad, have in my possession one of the precious sliders you're collecting._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@0:2","You can only win it if you beat me at my favorite video game!","_ho_You can only win it if you beat me at my favorite video game!_ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@0:3","Which is installing 
right this moment...","_ho_Which is installing 
right this moment..._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@1:0","WHAT","_ho_WHAT_ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@1:1","Grr... next time we'll settle this for sure.","_ho_Grr... next time we'll settle this for sure._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@2:0","Just... just one more round! I'm starting to get good with dice.","_ho_Just... just one more round! I'm starting to get good with dice._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@3:0","...","_ho_..._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@0:0","Heyo! So funny story.","_ho_Heyo! So funny story._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@0:1","I was doing maintenance on the power cause the line got chewed out. When a RAT showed up and started squeakin' about. Gave me a lil' jump and I tripped. Flipped the switch and doors shut, and dropped my keys. Then that darn RAT took 'em! And now here I am. In a bit of a tickle one might say.","_ho_I was doing maintenance on the power cause the line got chewed out. When a RAT showed up and started squeakin' about. Gave me a lil' jump and I tripped. Flipped the switch and doors shut, and dropped my keys. Then that darn RAT took 'em! And now here I am. In a bit of a tickle one might say._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@0:2","Sorry I meant pickle.","_ho_Sorry I meant pickle._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@0:3","Anyways I'd owe you a lunch if you got me my keys back.","_ho_Anyways I'd owe you a lunch if you got me my keys back._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@1:0","Man, you see that computer explode too? That old hardware really can't handle those kinda games huh.","_ho_Man, you see that computer explode too? That old hardware really can't handle those kinda games huh._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@1:1","Anyway, let me know if you find my keys.","_ho_Anyway, let me know if you find my keys._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@2:0","Heyo, you got the key!","_ho_Heyo, you got the key!_ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@3:0","Thanks for grabbing it, don't know what I would do without ya. Really, I don't know how I could thank you enough. Oh! I owe you a lunch, don't I? Haha well I can share some of what I brought today if you want. It's homemade pickles! And no, I don't mean tickles. That would be weird. Let me know if you want to try one, they're super juicy! No? Okay... well anyways thanks for all your help.","_ho_Thanks for grabbing it, don't know what I would do without ya. Really, I don't know how I could thank you enough. Oh! I owe you a lunch, don't I? Haha well I can share some of what I brought today if you want. It's homemade pickles! And no, I don't mean tickles. That would be weird. Let me know if you want to try one, they're super juicy! No? Okay... well anyways thanks for all your help._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@3:1","No really, thanks a lot.","_ho_No really, thanks a lot._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@4:0","Heyo thanks a ton, really.","_ho_Heyo thanks a ton, really._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@4:1","The Factory foreman would've been ON ME if it wasn't fixed.","_ho_The Factory foreman would've been ON ME if it wasn't fixed._ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@0:0","Someone there? Welcome to the Cavern Station!","_ho_Someone there? Welcome to the Cavern Station!_ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@0:1","I'd show you in, but I can't quite see the door.","_ho_I'd show you in, but I can't quite see the door._ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@1:0","Ah... so dark again.","_ho_Ah... so dark again._ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@2:0","There's the door! And my work bench!","_ho_There's the door! And my work bench!_ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@3:0","Thanks for getting things up and running again.","_ho_Thanks for getting things up and running again._ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@3:1","Ever since they put me on fungus removal duty it's been hard to see.","_ho_Ever since they put me on fungus removal duty it's been hard to see._ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@3:2","These 10 kilowatt lights are so convenient though!","_ho_These 10 kilowatt lights are so convenient though!_ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@4:0","Why do people write so small... what do these labels even say?","_ho_Why do people write so small... what do these labels even say?_ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@0:0","The minecart is broken!","_ho_The minecart is broken!_ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@0:1","We'll need to get a replacement from Canopy Town.","_ho_We'll need to get a replacement from Canopy Town._ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@0:2","What? The bridge is broken too??","_ho_What? The bridge is broken too??_ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@0:3","Ugh... this is never getting fixed.","_ho_Ugh... this is never getting fixed._ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@1:0","Is the bridge fixed yet?","_ho_Is the bridge fixed yet?_ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@1:1","There's a path to Canopy Town behind Bob's Tavern but... that's way too far for us.","_ho_There's a path to Canopy Town behind Bob's Tavern but... that's way too far for us._ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@2:0","Oh man you fixed it! We can finally work on clearing the cave in to the Crystal Mines.","_ho_Oh man you fixed it! We can finally work on clearing the cave in to the Crystal Mines._ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@2:1","The Mines? They're shipping materials to the MRI.","_ho_The Mines? They're shipping materials to the MRI._ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@2:2","Something about them holds a lot of power. Good for fuel and whatever.","_ho_Something about them holds a lot of power. Good for fuel and whatever._ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@3:0","What? You fixed the Crystal Mines too?!","_ho_What? You fixed the Crystal Mines too?!_ho_",
"Map/EightPuzzle/Cave STile (4)/Objects/Minecart Operator@3:1","Great work man, I'll vote you for employee of the month.","_ho_Great work man, I'll vote you for employee of the month._ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@0:0","woah, you checked out behind the waterfall too?","_ho_woah, you checked out behind the waterfall too?_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@0:1","i seem to have lost my flashlight in fungus somewhere","_ho_i seem to have lost my flashlight in fungus somewhere_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@0:2","try turning on the power station, the key should be nearby","_ho_try turning on the power station, the key should be nearby_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@0:3","i wonder how the fungus came to be... ive never seen anything like it!","_ho_i wonder how the fungus came to be... ive never seen anything like it!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@0:4","i wonder what happens if i... touch it?","_ho_i wonder what happens if i... touch it?_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@1:0","hi again!! i seem to have lost my flashlight in the fungus somewhere...","_ho_hi again!! i seem to have lost my flashlight in the fungus somewhere..._ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@1:1","try turning on the power station, the key should be nearby","_ho_try turning on the power station, the key should be nearby_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@1:2","this fungus is so fascinating... ive never seen anything like it!","_ho_this fungus is so fascinating... ive never seen anything like it!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@1:3","i wonder what happens if i... touch it?","_ho_i wonder what happens if i... touch it?_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@2:0","the station's back on! think itll help find my flashlight?","_ho_the station's back on! think itll help find my flashlight?_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@2:1","this light here should help with the fungus around it","_ho_this light here should help with the fungus around it_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@3:0","woah!! whered you find my flashlight?!","_ho_woah!! whered you find my flashlight?!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@3:1","wait... it doesn't look like it works...","_ho_wait... it doesn't look like it works..._ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@3:2","theres fungus inside the light. the bulb looks... shattered?","_ho_theres fungus inside the light. the bulb looks... shattered?_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@3:3","oh well! make sure to turn on the station light!","_ho_oh well! make sure to turn on the station light!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@3:4","im gonna continue my search for more glyphs in these caves. keep an eye out!","_ho_im gonna continue my search for more glyphs in these caves. keep an eye out!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@4:0","the flashlight doesn't look like it works...","_ho_the flashlight doesn't look like it works..._ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@4:1","woah, theres fungus inside the light. the bulb looks... shattered?","_ho_woah, theres fungus inside the light. the bulb looks... shattered?_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@4:2","oh well! im gonna continue my search for more glyphs in these caves. keep an eye out!","_ho_oh well! im gonna continue my search for more glyphs in these caves. keep an eye out!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@5:0","i lost my backup light too (sorry) and now i can't study these glyphs...","_ho_i lost my backup light too (sorry) and now i can't study these glyphs..._ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@5:1","could you light up <wavy>the ENTIRE cavern</wavy> for me?","_ho_could you light up <wavy>the ENTIRE cavern</wavy> for me?_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@6:0","now! what do these say...","_ho_now! what do these say..._ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@6:1","the ancient 
civilization's notes...","_ho_the ancient 
civilization's notes..._ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@6:2","a tool that can break apart the world...","_ho_a tool that can break apart the world..._ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@6:3"," and a <#ff9040>scroll</color> that 
can fix it?!","_ho_ and a <#ff9040>scroll</color> that 
can fix it?!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@7:0","this is fantastic news! if we find where these relics are, we can prob fix the entire world!","_ho_this is fantastic news! if we find where these relics are, we can prob fix the entire world!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@7:1","and maybe find out whoever caused all this...","_ho_and maybe find out whoever caused all this..._ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@7:2","i know where to keep looking - the desert has some fascinating geological history.","_ho_i know where to keep looking - the desert has some fascinating geological history._ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@7:3","start packing the camping equipment chad, were going to the desert!","_ho_start packing the camping equipment chad, were going to the desert!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@7:4","chad..? where are you chaaddddd","_ho_chad..? where are you chaaddddd_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@8:0","chad c'mon lets go!","_ho_chad c'mon lets go!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@8:1","a-are you gambling?? im not paying you for this lets go get the <#ff9040>scroll</color>","_ho_a-are you gambling?? im not paying you for this lets go get the <#ff9040>scroll</color>_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Archeologist@9:0","...","_ho_..._ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Door Worker@0:0","Rats! The power line's been chewed up again.","_ho_Rats! The power line's been chewed up again._ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Door Worker@0:1","Jimbobby is stuck behind the door to the Crystal Mines!","_ho_Jimbobby is stuck behind the door to the Crystal Mines!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Door Worker@0:2","Gah! That power line can't even be fixed!","_ho_Gah! That power line can't even be fixed!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Door Worker@1:0","Is that the rat?! Kill it! Git!","_ho_Is that the rat?! Kill it! Git!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Door Worker@1:1","Gah! It's so fast!","_ho_Gah! It's so fast!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Door Worker@2:0","The rats done! But so is the wire.","_ho_The rats done! But so is the wire._ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Door Worker@2:1","And I pray Jimbobby stays strong.","_ho_And I pray Jimbobby stays strong._ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Door Worker@3:0","Stranger! Please, help Jimbobby if you can!","_ho_Stranger! Please, help Jimbobby if you can!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Door Worker@4:0","Jimbobby is saved!","_ho_Jimbobby is saved!_ho_",
"Map/EightPuzzle/Cave STile (5)/Objects/Door Worker@5:0","And the rail line's fixed?! You, sir, are a miracle worker!","_ho_And the rail line's fixed?! You, sir, are a miracle worker!_ho_",
"Map/EightPuzzle/Cave STile (6)/Objects/Nerd Emoji@0:0","Gah, what was the protocol for this?","_ho_Gah, what was the protocol for this?_ho_",
"Map/EightPuzzle/Cave STile (6)/Objects/Nerd Emoji@0:1","Wait! You should turn on the station light, it should help.","_ho_Wait! You should turn on the station light, it should help._ho_",
"Map/EightPuzzle/Cave STile (6)/Objects/Nerd Emoji@1:0","Gah, what was the protocol for this?","_ho_Gah, what was the protocol for this?_ho_",
"Map/EightPuzzle/Cave STile (6)/Objects/Nerd Emoji@1:1","I know it could be done with only two lights, but how?","_ho_I know it could be done with only two lights, but how?_ho_",
"Map/EightPuzzle/Cave STile (6)/Objects/Nerd Emoji@1:2","It's probably easier with more...","_ho_It's probably easier with more..._ho_",
"Map/EightPuzzle/Cave STile (6)/Objects/Nerd Emoji@2:0","Woah!! You got it!","_ho_Woah!! You got it!_ho_",
"Map/EightPuzzle/Cave STile (6)/Objects/Nerd Emoji@2:1","Sorry would you mind telling me again, I wasn't paying attention...","_ho_Sorry would you mind telling me again, I wasn't paying attention..._ho_",
"Map/EightPuzzle/Cave STile (6)/Objects/Nerd Emoji@3:0","Sigh... Ever since we started digging up those crystals.","_ho_Sigh... Ever since we started digging up those crystals._ho_",
"Map/EightPuzzle/Cave STile (6)/Objects/Nerd Emoji@3:1","I can't believe this fungi is so obtrusive. It's unwordly.","_ho_I can't believe this fungi is so obtrusive. It's unwordly._ho_",
"Map/EightPuzzle/Cave STile (6)/Objects/Nerd Emoji@3:2","What are the MRI execs up to...","_ho_What are the MRI execs up to..._ho_",
"Map/EightPuzzle/Cave STile (6)/Objects/Nerd Emoji@4:0","Hm... it looks like this light is going to run out of battery soon.","_ho_Hm... it looks like this light is going to run out of battery soon._ho_",
"Map/EightPuzzle/Cave STile (6)/Objects/Nerd Emoji@4:1","Oh well, I'm sure someone will fix it.","_ho_Oh well, I'm sure someone will fix it._ho_",
"Map/EightPuzzle/Cave STile (9)/Objects/Pirate Dropout@0:0","Yar... the treasure here be a sham...","_ho_Yar... the treasure here be a sham..._ho_",
"Map/EightPuzzle/Cave STile (9)/Objects/Pirate Dropout@0:1","Never shoulda trusted Catbeard, that drunkard.","_ho_Never shoulda trusted Catbeard, that drunkard._ho_",
"Map/EightPuzzle/Cave STile (9)/Objects/Pirate Dropout@1:0","...","_ho_..._ho_",
"Map/EightPuzzle/Cave STile (9)/Objects/Treasure Hunter@0:0","The real loot be in this fellers pockets!","_ho_The real loot be in this fellers pockets!_ho_",
"Map/EightPuzzle/Cave STile (9)/Objects/Treasure Hunter@0:1","This piker don't know when to quit!","_ho_This piker don't know when to quit!_ho_",
"Map/EightPuzzle/Cave STile (9)/Objects/Treasure Hunter@1:0","...","_ho_..._ho_",
"Map/World Grid/BaseObjects/(temp) explosives soign@0:0","boom goes here (not working)","_ho_boom goes here (not working)_ho_",
"Map/World Grid/BaseObjects/Jimbobby@0:0","thank you... ive been stuck there for days...","_ho_thank you... ive been stuck there for days..._ho_",
"Map/World Grid/BaseObjects/Jimbobby@1:0","...","_ho_..._ho_",
"Map/World Grid/BaseObjects/Repairman@0:0","Oh hey! Someone there? I can hardly see anything.","_ho_Oh hey! Someone there? I can hardly see anything._ho_",
"Map/World Grid/BaseObjects/Repairman@0:1","I was inspecting this light for repairs, when poof! The whole cavern went dark.","_ho_I was inspecting this light for repairs, when poof! The whole cavern went dark._ho_",
"Map/World Grid/BaseObjects/Repairman@0:2","If you can find some wire cutters and a wrench, I can get this bulb back on.","_ho_If you can find some wire cutters and a wrench, I can get this bulb back on._ho_",
"Map/World Grid/BaseObjects/Repairman@1:0","Woah, you found my wrench and wire cutters already! Let me fix this real quick...","_ho_Woah, you found my wrench and wire cutters already! Let me fix this real quick..._ho_",
"Map/World Grid/BaseObjects/Repairman@1:1","Let there be light!","_ho_Let there be light!_ho_",
"Map/World Grid/BaseObjects/Repairman@1:2","I'm gonna take a break now.","_ho_I'm gonna take a break now._ho_",
"Map/World Grid/BaseObjects/Repairman@1:3","I just know I'm gonna get ordered to fix this bridge too... must have broke in that earthquake.","_ho_I just know I'm gonna get ordered to fix this bridge too... must have broke in that earthquake._ho_",
"Map/World Grid/BaseObjects/Repairman@2:0","Let there be light!","_ho_Let there be light!_ho_",
"Map/World Grid/BaseObjects/Repairman@2:1","Phew, I'm gonna take a break now.","_ho_Phew, I'm gonna take a break now._ho_",
"Map/World Grid/BaseObjects/Repairman@2:2","I just know I'm gonna get ordered to fix this bridge too... must have broke in that earthquake.","_ho_I just know I'm gonna get ordered to fix this bridge too... must have broke in that earthquake._ho_",
"Map/World Grid/BaseObjects/Repairman@3:0","...","_ho_..._ho_",
