"Slider.v1.0.11","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (1)/Text Outline (4)","Art
Programming","_ho_Art
Programming_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (2)/Text","Avery Greer","_ho_Avery Greer_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (2)/Text Outline (1)","Avery Greer","_ho_Avery Greer_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (2)/Text Outline (2)","Avery Greer","_ho_Avery Greer_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (2)/Text Outline (3)","Avery Greer","_ho_Avery Greer_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (2)/Text Outline (4)","Avery Greer","_ho_Avery Greer_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (3)/Text","Programming
Audio","_ho_Programming
Audio_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (3)/Text Outline (1)","Programming
Audio","_ho_Programming
Audio_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (3)/Text Outline (2)","Programming
Audio","_ho_Programming
Audio_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (3)/Text Outline (3)","Programming
Audio","_ho_Programming
Audio_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (3)/Text Outline (4)","Programming
Audio","_ho_Programming
Audio_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text/Text","Allison Lu","_ho_Allison Lu_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text/Text Outline (1)","Allison Lu","_ho_Allison Lu_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text/Text Outline (2)","Allison Lu","_ho_Allison Lu_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text/Text Outline (3)","Allison Lu","_ho_Allison Lu_ho_",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text/Text Outline (4)","Allison Lu","_ho_Allison Lu_ho_",
"Map/Tiles/Art TIle/STile (6)/All Tile Maps/Housing Tile Map/Decorations/Catherine/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Art TIle/STile (6)/All Tile Maps/Housing Tile Map/Decorations/Catherine/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Art TIle/STile (6)/Objects/Choob/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Art TIle/STile (6)/Objects/Choob/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Art TIle/STile (6)/Objects/Gene/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Art TIle/STile (6)/Objects/Gene/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Art TIle/WorldCanvas/Text (1)/Text","Nathaniel Koehler
Elizabeth Liu
Cynthia Peng
Gazal Mathur
Mike Wang
Esther Moon
Nia Bellamy","_ho_Nathaniel Koehler
Elizabeth Liu
Cynthia Peng
Gazal Mathur
Mike Wang
Esther Moon
Nia Bellamy_ho_",
"Map/Tiles/Art TIle/WorldCanvas/Text (1)/Text Outline (1)","Nathaniel Koehler
Elizabeth Liu
Cynthia Peng
Gazal Mathur
Mike Wang
Esther Moon
Nia Bellamy","_ho_Nathaniel Koehler
Elizabeth Liu
Cynthia Peng
Gazal Mathur
Mike Wang
Esther Moon
Nia Bellamy_ho_",
"Map/Tiles/Art TIle/WorldCanvas/Text (1)/Text Outline (2)","Nathaniel Koehler
Elizabeth Liu
Cynthia Peng
Gazal Mathur
Mike Wang
Esther Moon
Nia Bellamy","_ho_Nathaniel Koehler
Elizabeth Liu
Cynthia Peng
Gazal Mathur
Mike Wang
Esther Moon
Nia Bellamy_ho_",
"Map/Tiles/Art TIle/WorldCanvas/Text (1)/Text Outline (3)","Nathaniel Koehler
Elizabeth Liu
Cynthia Peng
Gazal Mathur
Mike Wang
Esther Moon
Nia Bellamy","_ho_Nathaniel Koehler
Elizabeth Liu
Cynthia Peng
Gazal Mathur
Mike Wang
Esther Moon
Nia Bellamy_ho_",
"Map/Tiles/Art TIle/WorldCanvas/Text (1)/Text Outline (4)","Nathaniel Koehler
Elizabeth Liu
Cynthia Peng
Gazal Mathur
Mike Wang
Esther Moon
Nia Bellamy","_ho_Nathaniel Koehler
Elizabeth Liu
Cynthia Peng
Gazal Mathur
Mike Wang
Esther Moon
Nia Bellamy_ho_",
"Map/Tiles/Art TIle/WorldCanvas/Text/Text","Additional Art","_ho_Additional Art_ho_",
"Map/Tiles/Art TIle/WorldCanvas/Text/Text Outline (1)","Additional Art","_ho_Additional Art_ho_",
"Map/Tiles/Art TIle/WorldCanvas/Text/Text Outline (2)","Additional Art","_ho_Additional Art_ho_",
"Map/Tiles/Art TIle/WorldCanvas/Text/Text Outline (3)","Additional Art","_ho_Additional Art_ho_",
"Map/Tiles/Art TIle/WorldCanvas/Text/Text Outline (4)","Additional Art","_ho_Additional Art_ho_",
"Map/Tiles/Audio tile/Objects/Chad Sr/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Audio tile/Objects/Chad Sr/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Audio tile/WorldCanvas/Text (1)/Text","Additional sound from ZapSplat and SFXR","_ho_Additional sound from ZapSplat and SFXR_ho_",
"Map/Tiles/Audio tile/WorldCanvas/Text (1)/Text Outline (1)","Additional sound from ZapSplat and SFXR","_ho_Additional sound from ZapSplat and SFXR_ho_",
"Map/Tiles/Audio tile/WorldCanvas/Text (1)/Text Outline (2)","Additional sound from ZapSplat and SFXR","_ho_Additional sound from ZapSplat and SFXR_ho_",
"Map/Tiles/Audio tile/WorldCanvas/Text (1)/Text Outline (3)","Additional sound from ZapSplat and SFXR","_ho_Additional sound from ZapSplat and SFXR_ho_",
"Map/Tiles/Audio tile/WorldCanvas/Text (1)/Text Outline (4)","Additional sound from ZapSplat and SFXR","_ho_Additional sound from ZapSplat and SFXR_ho_",
"Map/Tiles/Audio tile/WorldCanvas/Text/Text","Made using FMOD Studio by Firelight Technologies Pty Ltd.
","_ho_Made using FMOD Studio by Firelight Technologies Pty Ltd.
_ho_",
"Map/Tiles/Audio tile/WorldCanvas/Text/Text Outline (1)","Made using FMOD Studio by Firelight Technologies Pty Ltd.
","_ho_Made using FMOD Studio by Firelight Technologies Pty Ltd.
_ho_",
"Map/Tiles/Audio tile/WorldCanvas/Text/Text Outline (2)","Made using FMOD Studio by Firelight Technologies Pty Ltd.
","_ho_Made using FMOD Studio by Firelight Technologies Pty Ltd.
_ho_",
"Map/Tiles/Audio tile/WorldCanvas/Text/Text Outline (3)","Made using FMOD Studio by Firelight Technologies Pty Ltd.
","_ho_Made using FMOD Studio by Firelight Technologies Pty Ltd.
_ho_",
"Map/Tiles/Audio tile/WorldCanvas/Text/Text Outline (4)","Made using FMOD Studio by Firelight Technologies Pty Ltd.
","_ho_Made using FMOD Studio by Firelight Technologies Pty Ltd.
_ho_",
"Map/Tiles/Boomo Tile/WorldCanvas/Text (1)/Text","Project Lead","_ho_Project Lead_ho_",
"Map/Tiles/Boomo Tile/WorldCanvas/Text (1)/Text Outline (1)","Project Lead","_ho_Project Lead_ho_",
"Map/Tiles/Boomo Tile/WorldCanvas/Text (1)/Text Outline (2)","Project Lead","_ho_Project Lead_ho_",
"Map/Tiles/Boomo Tile/WorldCanvas/Text (1)/Text Outline (3)","Project Lead","_ho_Project Lead_ho_",
"Map/Tiles/Boomo Tile/WorldCanvas/Text (1)/Text Outline (4)","Project Lead","_ho_Project Lead_ho_",
"Map/Tiles/Boomo Tile/WorldCanvas/Text/Text","Daniel Carr","_ho_Daniel Carr_ho_",
"Map/Tiles/Boomo Tile/WorldCanvas/Text/Text Outline (1)","Daniel Carr","_ho_Daniel Carr_ho_",
"Map/Tiles/Boomo Tile/WorldCanvas/Text/Text Outline (2)","Daniel Carr","_ho_Daniel Carr_ho_",
"Map/Tiles/Boomo Tile/WorldCanvas/Text/Text Outline (3)","Daniel Carr","_ho_Daniel Carr_ho_",
"Map/Tiles/Boomo Tile/WorldCanvas/Text/Text Outline (4)","Daniel Carr","_ho_Daniel Carr_ho_",
"Map/Tiles/Chase Tile/Objects/Elevator Builder/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Chase Tile/Objects/Elevator Builder/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Chase Tile/West Side/Burt the Craftsman/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Chase Tile/West Side/Burt the Craftsman/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Chase Tile/WorldCanvas/Text (1)/Text","Programming 
Design
Tech Art
Marketing","_ho_Programming 
Design
Tech Art
Marketing_ho_",
"Map/Tiles/Chase Tile/WorldCanvas/Text (1)/Text Outline (1)","Programming 
Design
Tech Art
Marketing","_ho_Programming 
Design
Tech Art
Marketing_ho_",
"Map/Tiles/Chase Tile/WorldCanvas/Text (1)/Text Outline (2)","Programming 
Design
Tech Art
Marketing","_ho_Programming 
Design
Tech Art
Marketing_ho_",
"Map/Tiles/Chase Tile/WorldCanvas/Text (1)/Text Outline (3)","Programming 
Design
Tech Art
Marketing","_ho_Programming 
Design
Tech Art
Marketing_ho_",
"Map/Tiles/Chase Tile/WorldCanvas/Text (1)/Text Outline (4)","Programming 
Design
Tech Art
Marketing","_ho_Programming 
Design
Tech Art
Marketing_ho_",
"Map/Tiles/Chase Tile/WorldCanvas/Text/Text","Chase O'Brien","_ho_Chase O'Brien_ho_",
"Map/Tiles/Chase Tile/WorldCanvas/Text/Text Outline (1)","Chase O'Brien","_ho_Chase O'Brien_ho_",
"Map/Tiles/Chase Tile/WorldCanvas/Text/Text Outline (2)","Chase O'Brien","_ho_Chase O'Brien_ho_",
"Map/Tiles/Chase Tile/WorldCanvas/Text/Text Outline (3)","Chase O'Brien","_ho_Chase O'Brien_ho_",
"Map/Tiles/Chase Tile/WorldCanvas/Text/Text Outline (4)","Chase O'Brien","_ho_Chase O'Brien_ho_",
"Map/Tiles/Eli Travis Tile/Objects/Bartender/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Eli Travis Tile/Objects/Bartender/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Eli Travis Tile/Objects/Clubber (1)/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Eli Travis Tile/Objects/Clubber (1)/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (1)/Text","Music
Art","_ho_Music
Art_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (1)/Text Outline (1)","Music
Art","_ho_Music
Art_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (1)/Text Outline (2)","Music
Art","_ho_Music
Art_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (1)/Text Outline (3)","Music
Art","_ho_Music
Art_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (1)/Text Outline (4)","Music
Art","_ho_Music
Art_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (2)/Text","Travis Bittel","_ho_Travis Bittel_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (2)/Text Outline (1)","Travis Bittel","_ho_Travis Bittel_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (2)/Text Outline (2)","Travis Bittel","_ho_Travis Bittel_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (2)/Text Outline (3)","Travis Bittel","_ho_Travis Bittel_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (2)/Text Outline (4)","Travis Bittel","_ho_Travis Bittel_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (3)/Text","Programming","_ho_Programming_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (3)/Text Outline (1)","Programming","_ho_Programming_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (3)/Text Outline (2)","Programming","_ho_Programming_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (3)/Text Outline (3)","Programming","_ho_Programming_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (3)/Text Outline (4)","Programming","_ho_Programming_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text/Text","Eli Corley","_ho_Eli Corley_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text/Text Outline (1)","Eli Corley","_ho_Eli Corley_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text/Text Outline (2)","Eli Corley","_ho_Eli Corley_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text/Text Outline (3)","Eli Corley","_ho_Eli Corley_ho_",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text/Text Outline (4)","Eli Corley","_ho_Eli Corley_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Bruce/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Bruce/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Ike/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Ike/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Porker/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Porker/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Questboard/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Questboard/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Tavern Deco/round_table (2)/Dice1/Dice Sprite/Canvas/Dialogue","2","_ho_2_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Tavern Deco/round_table (2)/Dice1/Dice Sprite/Canvas/Dialogue BG Font","2","_ho_2_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Tavern Deco/round_table (2)/Dice2/Dice Sprite/Canvas/Dialogue","4","_ho_4_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Tavern Deco/round_table (2)/Dice2/Dice Sprite/Canvas/Dialogue BG Font","4","_ho_4_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Traveling Merchant/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Traveling Merchant/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Vanessa/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Ethan Alan Tile/All Tile Maps/House Tile Maps/Decorations/Vanessa/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (1)/Text","Music","_ho_Music_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (1)/Text Outline (1)","Music","_ho_Music_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (1)/Text Outline (2)","Music","_ho_Music_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (1)/Text Outline (3)","Music","_ho_Music_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (1)/Text Outline (4)","Music","_ho_Music_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (2)/Text","Alan Tao","_ho_Alan Tao_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (2)/Text Outline (1)","Alan Tao","_ho_Alan Tao_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (2)/Text Outline (2)","Alan Tao","_ho_Alan Tao_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (2)/Text Outline (3)","Alan Tao","_ho_Alan Tao_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (2)/Text Outline (4)","Alan Tao","_ho_Alan Tao_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (3)/Text","Programming
Audio","_ho_Programming
Audio_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (3)/Text Outline (1)","Programming
Audio","_ho_Programming
Audio_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (3)/Text Outline (2)","Programming
Audio","_ho_Programming
Audio_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (3)/Text Outline (3)","Programming
Audio","_ho_Programming
Audio_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (3)/Text Outline (4)","Programming
Audio","_ho_Programming
Audio_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text/Text","Ethan 
Aristanto","_ho_Ethan 
Aristanto_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text/Text Outline (1)","Ethan 
Aristanto","_ho_Ethan 
Aristanto_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text/Text Outline (2)","Ethan 
Aristanto","_ho_Ethan 
Aristanto_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text/Text Outline (3)","Ethan 
Aristanto","_ho_Ethan 
Aristanto_ho_",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text/Text Outline (4)","Ethan 
Aristanto","_ho_Ethan 
Aristanto_ho_",
"Map/Tiles/Jroo Elliot Tile/BirdNamedParty/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Jroo Elliot Tile/BirdNamedParty/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Jroo Elliot Tile/Crocodile/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Jroo Elliot Tile/Crocodile/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Jroo Elliot Tile/Objects/VIPHolder/VIP/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Jroo Elliot Tile/Objects/VIPHolder/VIP/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (1)/Text","Programming
Design
Music","_ho_Programming
Design
Music_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (1)/Text Outline (1)","Programming
Design
Music","_ho_Programming
Design
Music_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (1)/Text Outline (2)","Programming
Design
Music","_ho_Programming
Design
Music_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (1)/Text Outline (3)","Programming
Design
Music","_ho_Programming
Design
Music_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (1)/Text Outline (4)","Programming
Design
Music","_ho_Programming
Design
Music_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (2)/Text","Elliot Chen","_ho_Elliot Chen_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (2)/Text Outline (1)","Elliot Chen","_ho_Elliot Chen_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (2)/Text Outline (2)","Elliot Chen","_ho_Elliot Chen_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (2)/Text Outline (3)","Elliot Chen","_ho_Elliot Chen_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (2)/Text Outline (4)","Elliot Chen","_ho_Elliot Chen_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (3)/Text","Programming","_ho_Programming_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (3)/Text Outline (1)","Programming","_ho_Programming_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (3)/Text Outline (2)","Programming","_ho_Programming_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (3)/Text Outline (3)","Programming","_ho_Programming_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (3)/Text Outline (4)","Programming","_ho_Programming_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text/Text","Drew Busch","_ho_Drew Busch_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text/Text Outline (1)","Drew Busch","_ho_Drew Busch_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text/Text Outline (2)","Drew Busch","_ho_Drew Busch_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text/Text Outline (3)","Drew Busch","_ho_Drew Busch_ho_",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text/Text Outline (4)","Drew Busch","_ho_Drew Busch_ho_",
"Map/Tiles/Logan Tile/Objects/Warning Sign/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Logan Tile/Objects/Warning Sign/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Logan Tile/WorldCanvas/Text (1)/Text","Programming
Tech Art","_ho_Programming
Tech Art_ho_",
