"Slider.v1.0.11","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Ike@1:0","Uh, yeah, here, there, <wavy>north, west</wavy>. That's how you get through the <wavy>foggy seas</wavy>.","_ho_Uh, yeah, here, there, <wavy>north, west</wavy>. That's how you get through the <wavy>foggy seas</wavy>._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Ike@1:1","My dad used to dance like this.","_ho_My dad used to dance like this._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Ike@1:2","There were six directions to that song. I don't really know what the other four are.","_ho_There were six directions to that song. I don't really know what the other four are._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Ike@2:0","You found my old man? Is he coming home?","_ho_You found my old man? Is he coming home?_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Porker@0:0","You better not touch my coconuts behind the tavern!! ","_ho_You better not touch my coconuts behind the tavern!! _ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Porker@0:1","They contain the secret to traveling the fog.","_ho_They contain the secret to traveling the fog._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Porker@1:0","You touched my coconuts. And now you know the second verse.","_ho_You touched my coconuts. And now you know the second verse._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Porker@1:1","I doubt you're wise enough to traverse the fog though.","_ho_I doubt you're wise enough to traverse the fog though._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Porker@2:0","Na-nani?! You made it through the fog?!","_ho_Na-nani?! You made it through the fog?!_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Questboard@0:0","<var>OceanTavernBoardAvailable</var>","_ho_<var>OceanTavernBoardAvailable</var>_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Tavern Deco/Jukebox@0:0","<var>oceanTavernJukeboxString</var>","_ho_<var>oceanTavernJukeboxString</var>_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Tavern Deco/round_table (2)/Dice1/Dice1 Sprite/Canvas/Dialogue","2","_ho_2_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Tavern Deco/round_table (2)/Dice1/Dice1 Sprite/Canvas/Dialogue BG Font","2","_ho_2_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Tavern Deco/round_table (2)/Dice2/Dice2 Sprite/Canvas/Dialogue","4","_ho_4_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Tavern Deco/round_table (2)/Dice2/Dice2 Sprite/Canvas/Dialogue BG Font","4","_ho_4_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/TavernKeep@0:0","Greetings land grubber!","_ho_Greetings land grubber!_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/TavernKeep@1:0","Come back when you're equipped.","_ho_Come back when you're equipped._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/TavernKeep@2:0","Well, what do we have here?","_ho_Well, what do we have here?_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/TavernKeep@3:0","Bring me anything you find.","_ho_Bring me anything you find._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/TavernKeep@4:0","What's The Veil like?","_ho_What's The Veil like?_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/TavernKeep@5:0","Really making a name for yourself, huh?","_ho_Really making a name for yourself, huh?_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/TavernKeep@6:0","<var>Cat</var>? Heard they might be east of here.","_ho_<var>Cat</var>? Heard they might be east of here._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/TavernKeep@7:0","Just gotta put it all together.","_ho_Just gotta put it all together._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/TavernKeep@8:0","You're a hero 'round these parts now, son! ","_ho_You're a hero 'round these parts now, son! _ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/TavernKeep@9:0","Say hi to <var>Cat</var> for me.","_ho_Say hi to <var>Cat</var> for me._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Traveling Merchant@0:0","Got nuts? I'll trade you for a slice of gluten-full breadge.","_ho_Got nuts? I'll trade you for a slice of gluten-full breadge._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Traveling Merchant@0:1","Be quick, I won't stay here long.","_ho_Be quick, I won't stay here long._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Traveling Merchant@1:0","*thOCK*","_ho_*thOCK*_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Traveling Merchant@1:1","What an exquisite, full sound emanating from this majestic coconut!","_ho_What an exquisite, full sound emanating from this majestic coconut!_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Traveling Merchant@1:2","Here's your gluten-full breadge as promised.","_ho_Here's your gluten-full breadge as promised._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Traveling Merchant@2:0","Enjoy the gluten-full breadge.","_ho_Enjoy the gluten-full breadge._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Vanessa@0:0","Ooh, fresh meat!","_ho_Ooh, fresh meat!_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Vanessa@1:0","Was that a wave? On land? How?","_ho_Was that a wave? On land? How?_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Vanessa@2:0","A 7! Reminds me of that time Catbeard rolled a 7 when we played on his ship.","_ho_A 7! Reminds me of that time Catbeard rolled a 7 when we played on his ship._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Vanessa@2:1","But then a massive wave hit us. Then another!","_ho_But then a massive wave hit us. Then another!_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Vanessa@2:2","Shook the ship so bad the dice rolled an 11 all by themselves.","_ho_Shook the ship so bad the dice rolled an 11 all by themselves._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Vanessa@3:0","A 9! Blimey, what's going on?","_ho_A 9! Blimey, what's going on?_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Vanessa@4:0","No. It can't be. Not again...","_ho_No. It can't be. Not again..._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Vanessa@5:0","Bruce that's the eleventh time you lost.","_ho_Bruce that's the eleventh time you lost._ho_",
"Map/EightPuzzle/STile (2)/Objects/Muncher@0:0","Woah, a new pirate? Looking fine my man!","_ho_Woah, a new pirate? Looking fine my man!_ho_",
"Map/EightPuzzle/STile (2)/Objects/Muncher@0:1","What?! You don't even have an <#2e44f0>anchor</color>??","_ho_What?! You don't even have an <#2e44f0>anchor</color>??_ho_",
"Map/EightPuzzle/STile (2)/Objects/Muncher@0:2","Go talk to Bob, he'll help you on your quest!","_ho_Go talk to Bob, he'll help you on your quest!_ho_",
"Map/EightPuzzle/STile (2)/Objects/Muncher@1:0","Heyyy nice <#2e44f0>anchor</color>!","_ho_Heyyy nice <#2e44f0>anchor</color>!_ho_",
"Map/EightPuzzle/STile (2)/Objects/Muncher@1:1","Make sure you don't forget it, it's super useful!","_ho_Make sure you don't forget it, it's super useful!_ho_",
"Map/EightPuzzle/STile (2)/Objects/Muncher@2:0","Starting your quest I see, use all your tools well!","_ho_Starting your quest I see, use all your tools well!_ho_",
"Map/EightPuzzle/STile (2)/Objects/Muncher@2:1","*Wink*","_ho_*Wink*_ho_",
"Map/EightPuzzle/STile (2)/Objects/Muncher@3:0","Don't get overwhelmed! There's so much to explore, but I know you can do it!","_ho_Don't get overwhelmed! There's so much to explore, but I know you can do it!_ho_",
"Map/EightPuzzle/STile (2)/Objects/Muncher@3:1","Just take things one step at a time, and let Bob know if you're stuck!","_ho_Just take things one step at a time, and let Bob know if you're stuck!_ho_",
"Map/EightPuzzle/STile (2)/Objects/Muncher@3:2","And don't forget about your <#2e44f0>anchor</color>!","_ho_And don't forget about your <#2e44f0>anchor</color>!_ho_",
"Map/EightPuzzle/STile (2)/Objects/Muncher@4:0","OMG","_ho_OMG_ho_",
"Map/EightPuzzle/STile (2)/Objects/Muncher@4:1","You did it!! Can I have your autograph?!","_ho_You did it!! Can I have your autograph?!_ho_",
"Map/EightPuzzle/STile (3)/All Tile Maps/Tile Maps/Decorations/Boat_Small/BoatSprite/Captain Mako@0:0","I been stuck all day cuz of this blimey <#2e44f0>anchor</color>! Nab it off me will ya?","_ho_I been stuck all day cuz of this blimey <#2e44f0>anchor</color>! Nab it off me will ya?_ho_",
"Map/EightPuzzle/STile (3)/All Tile Maps/Tile Maps/Decorations/Boat_Small/BoatSprite/Captain Mako@0:1","I be headin to the tavern to hear Bob's rumors about the <wavy>treasures</wavy> around here.","_ho_I be headin to the tavern to hear Bob's rumors about the <wavy>treasures</wavy> around here._ho_",
"Map/EightPuzzle/STile (3)/All Tile Maps/Tile Maps/Decorations/Boat_Small/BoatSprite/Captain Mako@0:2","A magic wizard, sunken treasure, helpless fishermen, foggy seas, and the ancient Rumbling Rocks.","_ho_A magic wizard, sunken treasure, helpless fishermen, foggy seas, and the ancient Rumbling Rocks._ho_",
"Map/EightPuzzle/STile (3)/All Tile Maps/Tile Maps/Decorations/Boat_Small/BoatSprite/Captain Mako@0:3","These legends are for ME to claim, hear me?","_ho_These legends are for ME to claim, hear me?_ho_",
"Map/EightPuzzle/STile (3)/All Tile Maps/Tile Maps/Decorations/Boat_Small/BoatSprite/Captain Mako@1:0","Ye using that <#2e44f0>anchor</color> well? Ye better be.","_ho_Ye using that <#2e44f0>anchor</color> well? Ye better be._ho_",
"Map/EightPuzzle/STile (3)/All Tile Maps/Tile Maps/Decorations/Boat_Small/BoatSprite/Captain Mako@1:1","I be headin to the tavern to hear Bob's rumors about the <wavy>treasures</wavy> around here.","_ho_I be headin to the tavern to hear Bob's rumors about the <wavy>treasures</wavy> around here._ho_",
"Map/EightPuzzle/STile (3)/All Tile Maps/Tile Maps/Decorations/Boat_Small/BoatSprite/Captain Mako@1:2","A magic wizard, sunken treasure, helpless fishermen, foggy seas, and the ancient Rumbling Rocks.","_ho_A magic wizard, sunken treasure, helpless fishermen, foggy seas, and the ancient Rumbling Rocks._ho_",
"Map/EightPuzzle/STile (3)/All Tile Maps/Tile Maps/Decorations/Boat_Small/BoatSprite/Captain Mako@1:3","These legends are for ME to claim, hear me?","_ho_These legends are for ME to claim, hear me?_ho_",
"Map/EightPuzzle/STile (3)/All Tile Maps/Tile Maps/Decorations/Boat_Small/BoatSprite/Captain Mako@2:0","I better get moving, eh? Where did my map go... Aha! Let's see...","_ho_I better get moving, eh? Where did my map go... Aha! Let's see..._ho_",
"Map/EightPuzzle/STile (3)/All Tile Maps/Tile Maps/Decorations/Boat_Small/BoatSprite/Captain Mako@2:1","""To enter The Veil, you must prevail...""","_ho_""To enter The Veil, you must prevail...""_ho_",
"Map/EightPuzzle/STile (3)/All Tile Maps/Tile Maps/Decorations/Boat_Small/BoatSprite/Captain Mako@2:2","""3 pairs of verses at the fog's mouth, starting <wavy>West then South</wavy>...""","_ho_""3 pairs of verses at the fog's mouth, starting <wavy>West then South</wavy>...""_ho_",
"Map/EightPuzzle/STile (3)/All Tile Maps/Tile Maps/Decorations/Boat_Small/BoatSprite/Captain Mako@2:3","Oi, this map ain't complete?! Where are the rest of the directions?","_ho_Oi, this map ain't complete?! Where are the rest of the directions?_ho_",
"Map/EightPuzzle/STile (3)/All Tile Maps/Tile Maps/Decorations/Boat_Small/BoatSprite/Captain Mako@3:0","What?! You got to The Veil? Was there good booty?!","_ho_What?! You got to The Veil? Was there good booty?!_ho_",
"Map/EightPuzzle/STile (3)/All Tile Maps/Tile Maps/Decorations/Boat_Small/BoatSprite/Captain Mako@4:0","Aye, maybe I should retire back in Stonybrook.","_ho_Aye, maybe I should retire back in Stonybrook._ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@0:0","I really need to cast this storm spell... but I keep falling off this rock!","_ho_I really need to cast this storm spell... but I keep falling off this rock!_ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@0:1","I'll give it another go.","_ho_I'll give it another go._ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@0:2","...","_ho_..._ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@1:0","This time for sure!","_ho_This time for sure!_ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@2:0","Nyeh, failure again!","_ho_Nyeh, failure again!_ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@2:1","...","_ho_..._ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@3:0","Agh I'll never get this storm magic right!","_ho_Agh I'll never get this storm magic right!_ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@3:1","No no no,  I need to keep trying!","_ho_No no no,  I need to keep trying!_ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@3:2","...","_ho_..._ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@4:0","I got it!","_ho_I got it!_ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@4:1","It's not strong enough though... If even this spell can't stop it...","_ho_It's not strong enough though... If even this spell can't stop it..._ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@4:2","Thanks for your help anyway Traveller. Here, you can have this.","_ho_Thanks for your help anyway Traveller. Here, you can have this._ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@5:0","*sigh*","_ho_*sigh*_ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@6:0","Ouch, probably should have hopped off that rock.","_ho_Ouch, probably should have hopped off that rock._ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@7:0","None of the spells I've learned are strong enough... they're all counting on me... ","_ho_None of the spells I've learned are strong enough... they're all counting on me... _ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@7:1","Everyone... is counting on me...","_ho_Everyone... is counting on me..._ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@7:2","Oh! I didn't see you there. Oh don't worry about 'ol Fezziwig.","_ho_Oh! I didn't see you there. Oh don't worry about 'ol Fezziwig._ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@7:3","I'm quite alright.","_ho_I'm quite alright._ho_",
"Map/EightPuzzle/STile (5)/Objects/Fezziwig@7:4","Just enjoy yourself, please!","_ho_Just enjoy yourself, please!_ho_",
"Map/EightPuzzle/STile (6)/Objects/Foggy Island/Tile Maps/Decorations/Mushroom Island Guy@0:0","Captain..? Are you still there?","_ho_Captain..? Are you still there?_ho_",
"Map/EightPuzzle/STile (6)/Objects/Foggy Island/Tile Maps/Decorations/Mushroom Island Guy@0:1","Someone's here! Have you seen Catbeard?","_ho_Someone's here! Have you seen Catbeard?_ho_",
"Map/EightPuzzle/STile (6)/Objects/Foggy Island/Tile Maps/Decorations/Mushroom Island Guy@0:2","We were going on a voyage to the Veil but... we got a bit turned around.","_ho_We were going on a voyage to the Veil but... we got a bit turned around._ho_",
"Map/EightPuzzle/STile (6)/Objects/Foggy Island/Tile Maps/Decorations/Mushroom Island Guy@0:3","Can you tell him I'm still here? I don't have my license on me so I can't really leave.","_ho_Can you tell him I'm still here? I don't have my license on me so I can't really leave._ho_",
"Map/EightPuzzle/STile (8)/Objects/Kevin@0:0","All of this rotation nonsense has got my buoys tangled up again","_ho_All of this rotation nonsense has got my buoys tangled up again_ho_",
"Map/EightPuzzle/STile (8)/Objects/Kevin@0:1","Here, see for yourself","_ho_Here, see for yourself_ho_",
"Map/EightPuzzle/STile (8)/Objects/Kevin@1:0","Hazzah!","_ho_Hazzah!_ho_",
"Map/EightPuzzle/STile (8)/Objects/Kevin@1:1","Well would you look at that, looks like the tide has pushed everything back in place!","_ho_Well would you look at that, looks like the tide has pushed everything back in place!_ho_",
"Map/EightPuzzle/STile (8)/Objects/Kevin@1:2","Don’t have much to give, but this was my finest catch of the day.","_ho_Don’t have much to give, but this was my finest catch of the day._ho_",
"Map/EightPuzzle/STile (8)/Objects/Kevin@2:0","Mind spreading out my buoys again?","_ho_Mind spreading out my buoys again?_ho_",
"Map/EightPuzzle/STile (8)/Objects/Kevin@2:1","Oh you want me to turn them off?","_ho_Oh you want me to turn them off?_ho_",
"Map/EightPuzzle/STile (8)/Objects/Kevin@2:2","Alright then.","_ho_Alright then._ho_",
"Map/EightPuzzle/STile (8)/Objects/Kevin@3:0","Want me to enable the buoys?","_ho_Want me to enable the buoys?_ho_",
"Map/EightPuzzle/STile (8)/Objects/Kevin@3:1","There we go.","_ho_There we go._ho_",
"Map/EightPuzzle/STile (8)/Objects/Kevin@4:0","Don’t have much to give, but this was my finest catch of the day.","_ho_Don’t have much to give, but this was my finest catch of the day._ho_",
"Map/EightPuzzle/STile (8)/Objects/Kevin@5:0","Thanks again pal, one day I'll teach you how to fish.","_ho_Thanks again pal, one day I'll teach you how to fish._ho_",
"Map/EightPuzzle/STile (8)/Objects/Kevin@6:0","What’s up Big Tuna?","_ho_What’s up Big Tuna?_ho_",
"Map/World Grid/BaseObjects/Juliet@0:0","O Romeo, Romeo, wherefore art thou Romeo? Send me a message!","_ho_O Romeo, Romeo, wherefore art thou Romeo? Send me a message!_ho_",
"Map/World Grid/BaseObjects/Juliet@1:0","What's this say? Oh my!","_ho_What's this say? Oh my!_ho_",
"Map/World Grid/BaseObjects/Juliet@1:1","We will be reunited soon, my love...","_ho_We will be reunited soon, my love..._ho_",
"Map/World Grid/BaseObjects/Juliet@2:0","We will be reunited soon, my love...","_ho_We will be reunited soon, my love..._ho_",
"Map/World Grid/BaseObjects/Jungle Marking@0:0","Tourists: Beware of Gentrification","_ho_Tourists: Beware of Gentrification_ho_",
"Map/World Grid/BaseObjects/Romeo@0:0","Begone anchorless animal...","_ho_Begone anchorless animal..._ho_",
"Map/World Grid/BaseObjects/Romeo@1:0","It's been ages since I've felt Juliet's warmth... I should text her...","_ho_It's been ages since I've felt Juliet's warmth... I should text her..._ho_",
"Map/World Grid/BaseObjects/Romeo@1:1","Aghast I am! Art thou leaving me on read, Juliet?","_ho_Aghast I am! Art thou leaving me on read, Juliet?_ho_",
"Map/World Grid/BaseObjects/Romeo@1:2","Perchance, are the currents not delivering my letters?","_ho_Perchance, are the currents not delivering my letters?_ho_",
"Map/World Grid/BaseObjects/Romeo@2:0","Go forth, my message!","_ho_Go forth, my message!_ho_",
"Map/World Grid/BaseObjects/Romeo@2:1","May this one reach Juliet in time.","_ho_May this one reach Juliet in time._ho_",
"Map/World Grid/BaseObjects/Romeo@3:0","I must send this message, yet I cannot; <var>oceanRomeoReason</var>","_ho_I must send this message, yet I cannot; <var>oceanRomeoReason</var>_ho_",
"Map/World Grid/BaseObjects/Romeo@3:1","You; Clear the way! I need open water for this message to float across.","_ho_You; Clear the way! I need open water for this message to float across._ho_",
"Map/World Grid/BaseObjects/Romeo@4:0","May that message reach Juliet before sinking.","_ho_May that message reach Juliet before sinking._ho_",
"Map/World Grid/BaseObjects/Romeo@4:1","I fear two shakes of the sea may be too much for this poor vessel.","_ho_I fear two shakes of the sea may be too much for this poor vessel._ho_",
"Map/World Grid/BaseObjects/Romeo@5:0","Stop looking at that tablet, help me!","_ho_Stop looking at that tablet, help me!_ho_",
