"Slider.v1.0.20","Unity.v2022.3.62f3","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"Map/Tiles/Boomo Tile/WorldCanvas/Text","Daniel Carr","Daniel Carr","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Boomo Tile/WorldCanvas/Text (1)","Project Lead","프로젝트 리드","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Chase Tile/WorldCanvas/Text","Chase O'Brien","Chase O'Brien","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Chase Tile/WorldCanvas/Text (1)","Programming 
Design
Tech Art
Marketing","프로그래밍 
디자인
아트 기술지원
마케팅","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text","Eli Corley","Eli Corley","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (1)","Music
Art","음악
아트","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (2)","Travis Bittel","Travis Bittel","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Eli Travis Tile/WorldCanvas/Text (3)","Programming","프로그래밍","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text","Ethan 
Aristanto","Ethan 
Aristanto","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (1)","Music","음악","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (2)","Alan Tao","Alan Tao","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Ethan Alan Tile/WorldCanvas/Text (3)","Programming
Audio","프로그래밍
오디오","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text","Drew Busch","Drew Busch","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (1)","Programming
Design
Music","프로그래밍
오디오","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (2)","Elliot Chen","Elliot Chen","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Jroo Elliot Tile/WorldCanvas/Text (3)","Programming","프로그래밍","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Logan Tile/WorldCanvas/Text","Logan Bowers","Logan Bowers","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Logan Tile/WorldCanvas/Text (1)","Programming
Tech Art","프로그래밍
아트 기술지원","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Other Tile/WorldCanvas/Text","Additional Contributions","추가 기여","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Other Tile/WorldCanvas/Text (1)","Kate Tran 
Jimmy Huang
Maddie King
Sudarshan Srinivasan
Vu Nguyen
Rithvik Maladi
","Kate Tran 
Jimmy Huang
Maddie King
Sudarshan Srinivasan
Vu Nguyen
Rithvik Maladi
","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text","Pawan 
Jayakumar","Pawan 
Jayakumar","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (2)","Jamie Lee","Jamie Lee","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (3)","Art","아트","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (4)","Programming","프로그래밍","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text","Koushik Thiyagarajan
Kristian Chappell
Aneesh Boreda
Kenneth Wang
Muskaan Gupta","Koushik Thiyagarajan
Kristian Chappell
Aneesh Boreda
Kenneth Wang
Muskaan Gupta
","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text (1)","Additional Programming","추가 프로그래밍","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text","Reinart Realina
Thomas Dayton
Nicolas Cai
Tristan Ziegler
Zhenyu Wu
Steven Jia","Reinart Realina
Thomas Dayton
Nicolas Cai
Tristan Ziegler
Zhenyu Wu
Steven Jia","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text (1)","Additional Programming","추가 프로그래밍","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text","Sara Inani","Sara Inani","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (1)","Art","아트","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (2)","Max Zhang","Max Zhang","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (3)","Design","디자인","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text","Special Thanks","Special Thanks","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text (1)","Mark Brown
Beth O'Brien
Tororo
Playtesters","Mark Brown
Beth O'Brien
Playtesters
","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"BG Text Daniel and VGDev/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"BG Text Daniel and VGDev/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"BG Text Daniel and VGDev/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"BG Text Daniel and VGDev/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"BG Text Thank you/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"BG Text Thank you/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"BG Text Thank you/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"BG Text Thank you/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/Objects/Upstairs/Barron/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Allison Avery Tile/Objects/Upstairs/Barron/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (1)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (1)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (1)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (1)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (2)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (2)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (2)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (2)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (3)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (3)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (3)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (3)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Art TIle/STile (6)/All Tile Maps/Housing Tile Map/Decorations/Catherine/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Art TIle/STile (6)/All Tile Maps/Housing Tile Map/Decorations/Catherine/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Art TIle/STile (6)/Objects/Choob/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Art TIle/STile (6)/Objects/Choob/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Art TIle/STile (6)/Objects/Gene/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Art TIle/STile (6)/Objects/Gene/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Art TIle/WorldCanvas/Text (1)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Art TIle/WorldCanvas/Text (1)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Art TIle/WorldCanvas/Text (1)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Art TIle/WorldCanvas/Text (1)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Art TIle/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Art TIle/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Art TIle/WorldCanvas/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Art TIle/WorldCanvas/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Audio tile/Objects/Chad Sr/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Audio tile/Objects/Chad Sr/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Audio tile/WorldCanvas/Text (1)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Audio tile/WorldCanvas/Text (1)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Audio tile/WorldCanvas/Text (1)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Audio tile/WorldCanvas/Text (1)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Audio tile/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Audio tile/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Audio tile/WorldCanvas/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Audio tile/WorldCanvas/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Boomo Tile/WorldCanvas/Text (1)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Boomo Tile/WorldCanvas/Text (1)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Boomo Tile/WorldCanvas/Text (1)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Boomo Tile/WorldCanvas/Text (1)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Boomo Tile/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Boomo Tile/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Boomo Tile/WorldCanvas/Text/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Boomo Tile/WorldCanvas/Text/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Chase Tile/Objects/Elevator Builder/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Chase Tile/Objects/Elevator Builder/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Chase Tile/West Side/Burt the Craftsman/Canvas/Dialogue","","","enableWordWrapping:1;extraPadding:0;family:TinyUnicode SDF;fontSize:1;lineSpacing:-45;overflowMode:Overflow;wordSpacing:-10;",
"Map/Tiles/Chase Tile/West Side/Burt the Craftsman/Canvas/Dialogue BG Font","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicodeFill;fontSize:1;lineSpacing:-66;overflowMode:Overflow;wordSpacing:5.6;",
"Map/Tiles/Chase Tile/WorldCanvas/Text (1)/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Chase Tile/WorldCanvas/Text (1)/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Chase Tile/WorldCanvas/Text (1)/Text Outline (3)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Chase Tile/WorldCanvas/Text (1)/Text Outline (4)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:1;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Chase Tile/WorldCanvas/Text/Text Outline (1)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
"Map/Tiles/Chase Tile/WorldCanvas/Text/Text Outline (2)","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanOne;fontSize:1;lineSpacing:-32;overflowMode:Overflow;wordSpacing:0;",
