"Slider.v1.0.11","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@1","60","60",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@2","75","75",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@3","120","120",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@4","144","144",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@5","240","240",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@6","Uncapped","무제한",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Label","FPS","FPS",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@0","1280 x 720","1280 x 720",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@1","1280 x 800","1280 x 800",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@2","1366 x 768","1366 x 768",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@3","1920 x 1080","1920 x 1080",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@4","2560 x 1440","2560 x 1440",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@5","Native","최적",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Label","Resolution","해상도",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/VSync/Label","VSync","수직 동기화",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Big Text/Label","Bigger Text","더 큰 글자",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Contrast Text/Label","Text Background","글자 배경",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Hide Cursor/Label","Hide Cursor","커서 숨기기",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Pixel Font Alert/Label","Setting will be applied once you restart or return to main menu...
","다시 시작하거나 메인 메뉴로 돌아가면 설정이 적용됩니다...\n",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Pixel Font/Label","Pixel Font","Pixel Font",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Screen Shake Slider/Label","Screen Shake","화면 흔들림",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/Options Text","Options","설정",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/FeedbackButtonHolder/Feedback Button/Text","Give Feedback (web)","피드백 주기 (web)",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/List/Auto Move/Label","Auto Move
","자동 이동\n",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/List/Colorblind Mode/Label","Colorblind Mode","색맹 모드",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/List/Mini Player Icon/Label","Mini Player Icon","작은 플레이어 아이콘",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/Misc Options Text","Miscellaneous","기타 등등",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/ResetButtonHolder/Reset to Defaults Button/Text","Reset All Settings","모든 설정 초기화",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Ambience Slider/Label","Ambience","환경음",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Master Slider/Label","Master","전체 음량",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Music Slider/Label","Music","음악",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Play Audio When Unfocused/Label","Audio when
Unfocused","다른 창을\n띄울 시 음량",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Sound Slider/Label","Sound","소리",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/Sound Text","Sound","소리",
"UICanvas/OptionsMenu/SideNav/Cheats Button/Text","Cheats","치트",
"UICanvas/OptionsMenu/SideNav/Controls Button/Text","Controls","조작",
"UICanvas/OptionsMenu/SideNav/Display Button/Text","Display","화면",
"UICanvas/OptionsMenu/SideNav/Misc Button/Text","Misc","기타",
"UICanvas/OptionsMenu/SideNav/Options Button/Text","Options
","설정\n",
"UICanvas/OptionsMenu/SideNav/Sound Button/Text","Sound","소리",
"UICanvas/PausePanel/Guide Button Variant/Text","Hints/Guide (web)","힌트/가이드 (web)",
"UICanvas/PausePanel/Options Button Variant/Text","Options","설정",
"UICanvas/PausePanel/Paused Text","Paused","정지",
"UICanvas/PausePanel/Quit Button Variant/Text","Quit","종료",
"UICanvas/PausePanel/Resume Button Variant/Text","Resume","이어하기",
