"Slider.v1.0.17","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"UICanvas/OptionsMenu/CheatsManager@SpawnAnchor:0","Spawn Anchor","Spawn Anchor","",
"UICanvas/OptionsMenu/CheatsManager@Teleport:0","Teleport","Teleport","",
"UICanvas/OptionsMenu/CheatsManager@Undo:0","Undo","Undo","",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/Cheats Text","Cheats","Cheats","family:PixelTitanZero;size:24;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Alert","Warning! Cheats cannot be undone!
We have a guide with lots of hints too.
Feel free to use these if you get stuck.","Warning! Cheats cannot be undone!
We have a guide with lots of hints too.
Feel free to use these if you get stuck.","family:PixelUnicode;size:12;lineSpacing:-15;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Button Holder (1)/Scroll Boots Button/Text","Scroll+Boots","Scroll+Boots","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Button Holder (1)/Spawn Anchor Button/Text","Spawn Anchor","Spawn Anchor","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Button Holder (2)/NoClip Button/Text","NoClip","NoClip","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Button Holder (2)/Respawn Button/Text","Respawn","Respawn","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Collectible Selector Button Pair/Give Button/Text","Give","Give","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Collectible Selector Button Pair/Holder/Label","Collectible Name","Collectible Name","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Dev Console/Label","Dev Console","Dev Console","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Teleport Selector Button Pair/Holder/Label","Village","Village","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Teleport Selector Button Pair/TP Button/Text","Teleport","Teleport","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Larger Deadzone/Label","Larger Deadzone","Larger Deadzone","family:PixelUnicode;size:14;lineSpacing:-30;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Alt View","Alt View","Alt View","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Button East","Back","Back","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Button North","Cycle","Cycle","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Button South","Action","Action","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Right Aligned/Artifact","Artifact","Artifact","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Right Aligned/Move","Move","Move","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Right Aligned/Pause","Pause","Pause","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controls Text","Keyboard","Keyboard","family:PixelTitanZero;size:24;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Action/Control Label","Action","Action","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Alt View/Control Label","Alt View","Alt View","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Cycle Equip/Control Label","Cycle","Cycle","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Keyboard Only/Label","Keyboard Only","Keyboard Only","family:PixelUnicode;size:14;lineSpacing:-30;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Down/Control Label","Down","Down","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Left/Control Label","Left","Left","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Right/Control Label","Right","Right","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Up/Control Label","Up","Up","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Open/Close Artifact/Control Label","Artifact","Artifact","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Pause/Control Label","Pause","Pause","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/ResetButtonHolder/Reset to Defaults Button/Text","Reset Keybinds","Reset Keybinds","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Rebinding Overlay/Text","Rebinding <control/>...","Rebinding <control/>...","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel@Scheme:0","Keyboard","Keyboard","",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel@Scheme:1","Controller","Controller","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/ApplySettingsHolder/ApplySettings Button/Text","Save Changes","Save Changes","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/Display Text","Display","Display","family:PixelTitanZero;size:24;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@0","30","30","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@1","60","60","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@2","75","75","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@3","120","120","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@4","144","144","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@5","240","240","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@6","Uncapped","Uncapped","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Label","FPS","FPS","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FullScreen Toggle/Label","Full Screen","Full Screen","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@0","1280 x 720","1280 x 720","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@1","1280 x 800","1280 x 800","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@2","1366 x 768","1366 x 768","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@3","1920 x 1080","1920 x 1080","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@4","2560 x 1440","2560 x 1440","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@5","Native","Native","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Label","Resolution","Resolution","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/VSync/Label","VSync","VSync","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Big Text/Label","Bigger Text","Bigger Text","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Contrast Text/Label","Text Background","Text Background","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Hide Cursor/Label","Hide Cursor","Hide Cursor","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Pixel Font Alert/Label","Setting will be applied once you restart or return to main menu...","Setting will be applied once you restart or return to main menu...","family:PixelUnicode;size:12;lineSpacing:-15;",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Pixel Font/Label","Pixel Font","Pixel Font","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Screen Shake Slider/Label","Screen Shake","Screen Shake","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/Options Text","Options","Options","family:PixelTitanZero;size:24;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/FeedbackButtonHolder/Feedback Button/Text","Give Feedback (web)","Give Feedback (web)","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/List/Colorblind Mode/Label","Colorblind Mode","Colorblind Mode","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/List/Mini Player Icon/Label","Mini Player Icon","Mini Player Icon","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/List/Smoother FPS/Label","Smoother FPS (Experimental)","Smoother FPS (Experimental)","family:PixelUnicode;size:16;lineSpacing:-34;",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/Misc Options Text","Miscellaneous","Miscellaneous","family:PixelTitanZero;size:24;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/ResetButtonHolder/Reset to Defaults Button/Text","Reset All Settings","Reset All Settings","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Ambience Slider/Label","Ambience","Ambience","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Master Slider/Label","Master","Master","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Music Slider/Label","Music","Music","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Play Audio When Unfocused/Label","Audio when
Unfocused","Audio when
Unfocused","family:PixelUnicode;size:16;lineSpacing:-34;",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Sound Slider/Label","Sound","Sound","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/Sound Text","Sound","Sound","family:PixelTitanZero;size:24;lineSpacing:0;",
"UICanvas/OptionsMenu/SideNav/Cheats Button/Text","Cheats","Cheats","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/SideNav/Controls Button/Text","Controls","Controls","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/SideNav/Display Button/Text","Display","Display","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/SideNav/Misc Button/Text","Misc","Misc","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/SideNav/Options Button/Text","Options","Options","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/SideNav/Sound Button/Text","Sound","Sound","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/Confirm Button Variant/Text","Confirm","Confirm","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/LeftSaveBackground/Left Save Button/Text","[ Empty ]","[ Empty ]","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/LeftSaveBackground/Left Save Button/Text/ProgressText","1/9","1/9","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/LeftSaveBackground/Left Save Button/Text/TimeText","0h32","0h32","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/MiddleSaveBackground/Middle Save Button/Text","Cat Name","Cat Name","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/MiddleSaveBackground/Middle Save Button/Text/ProgressText","1/9","1/9","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/MiddleSaveBackground/Middle Save Button/Text/TimeText","0h32","0h32","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/ProgressText","Select Save","Select Save","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/RightSaveBackground/Right Save Button/Text","[ Empty ]","[ Empty ]","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/RightSaveBackground/Right Save Button/Text/ProgressText","1/9","1/9","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/RightSaveBackground/Right Save Button/Text/TimeText","0h32","0h32","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/SavesPanel@Backup:0","Restore a backup?","Restore a backup?","",
"UICanvas/SavesPanel@Delete:0","Delete file?","Delete file?","",
"UICanvas/SavesPanel@Normal:0","Select Save","Select Save","",
"WorldCanvas/Press any Key","[press any key to begin]","[press any key to begin]","family:PixelUnicode;size:0.75;lineSpacing:0;",
"UICanvas/MM Panel/OtherElements/Locale Selector/Dropdown","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/MM Panel/OtherElements/Version","","","family:PixelUnicode;size:7;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/E/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/I/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/O/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/P/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/Q/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/R/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/T/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/U/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/W/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/Y/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/A/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/D/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/F/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/G/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/H/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/J/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/K/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/L/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/S/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/B/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/C/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/M/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/N/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/V/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/X/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/Z/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Action/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Alt View/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Cycle Equip/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Down/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Left/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Right/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Up/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Open/Close Artifact/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Pause/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown","","","family:PixelUnicode;size:16;lineSpacing:0;",
