"Slider.v1.0.13","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@8:1","Has anyone been feeding <var>Cat</var>?","Has anyone been feeding <var>Cat</var>?",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@9:0","What??","What??",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@9:1","WHAT????","WHAT????",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@9:2","Aliens?? Took <var>Cat</var>??","Aliens?? Took <var>Cat</var>??",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@9:3","They exist??","They exist??",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@0:0","Juliet, my love, where hast though disappeared to?!","Juliet, my love, where hast though disappeared to?!",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@1:0","Juliet, my love, wherefore art thou?!","Juliet, my love, wherefore art thou?!",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@2:0","Please bring my beloved back, lest I drink this poison!","Please bring my beloved back, lest I drink this poison!",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@2:1","Your cat? I care not! Where art thou, Juliet?!","Your cat? I care not! Where art thou, Juliet?!",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@3:0","Please bring my beloved back, lest I drink this poison!","Please bring my beloved back, lest I drink this poison!",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@4:0","Juliet, my beloved, where hath thou disappeared to now?","Juliet, my beloved, where hath thou disappeared to now?",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@4:1","Oh, what a tragic life I must endure. The cycle of dread continues.","Oh, what a tragic life I must endure. The cycle of dread continues.",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@5:0","Oh Juliet! I'll
never leave
you again.","Oh Juliet! I'll
never leave
you again.",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@6:0","Juliet, will you
be mine?
","Juliet, will you
be mine?
",
"Map/Village 8Puzzle/STile (1)/Objects/Romeo@7:0","...","...",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@0:0","hmmm...","hmmm...",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@0:1","oh! another person??","oh! another person??",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@0:2","something <wavy>freaky</wavy> is going on. the world's straight disappeared!","something <wavy>freaky</wavy> is going on. the world's straight disappeared!",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@0:3","check out this little slider thing i found. looks almost like a piece of the world","check out this little slider thing i found. looks almost like a piece of the world",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@1:0","omg... its back in the world again! how did you do that??","omg... its back in the world again! how did you do that??",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@1:1","say, you wouldnt be interested in a research assistant job, would you?","say, you wouldnt be interested in a research assistant job, would you?",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@1:2","no..? thats fine... um... the spots taken anyway...","no..? thats fine... um... the spots taken anyway...",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@10:0","stand clear!!","stand clear!!",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@10:1","the caves await.","the caves await.",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@10:2","i heard there are more relics in there. im gonna follow the trail to the source.","i heard there are more relics in there. im gonna follow the trail to the source.",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@11:0","the caves await.","the caves await.",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@11:1","i heard there are more relics in there. im gonna follow the trail to the source.","i heard there are more relics in there. im gonna follow the trail to the source.",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@12:0","...","...",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@2:0","so... what about these ruins.","so... what about these ruins.",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@3:0","ahA! it looks like those ruins pieces might connect!!","ahA! it looks like those ruins pieces might connect!!",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@4:0","an arrow? it must lead to a relic!","an arrow? it must lead to a relic!",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@4:1","how do i get there?","how do i get there?",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@4:2","this way? no...","this way? no...",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@4:3","over here?","over here?",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@4:4","aHh im so lost! everything keeps moving!","aHh im so lost! everything keeps moving!",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@4:5","you! follow that arrow!","you! follow that arrow!",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@5:0","now these glyphs... we just need to find the final fragment.","now these glyphs... we just need to find the final fragment.",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@5:1","my research assistant was looking for it last. no idea where he is now...","my research assistant was looking for it last. no idea where he is now...",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@6:0","you found chad?? tell him to bring me the final fragment already","you found chad?? tell him to bring me the final fragment already",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@7:0","tyy! now let me take a look...","tyy! now let me take a look...",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@7:1","wOAH! everything is shakingggg","wOAH! everything is shakingggg",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@8:0","aMAZING! did you see that?!","aMAZING! did you see that?!",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@8:1","shoot! i got a bit carried away didnt i","shoot! i got a bit carried away didnt i",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@8:2","we need to <wavy>fix the village</wavy>!","we need to <wavy>fix the village</wavy>!",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@9:0","wow, everythings in the right place again, just like i remembered!","wow, everythings in the right place again, just like i remembered!",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@9:1","i think im onto something, explorer. these glyphs are related to whatever broke up the world.","i think im onto something, explorer. these glyphs are related to whatever broke up the world.",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@9:2","there's more in the caves up north. you should come!!","there's more in the caves up north. you should come!!",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@9:3","oh, make sure to grab a map from the Mayor first!","oh, make sure to grab a map from the Mayor first!",
"Map/Village 8Puzzle/STile (2)/Objects/Archeologist@9:4","oh, make sure to grab a map from the Mayor first!","oh, make sure to grab a map from the Mayor first!",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@0:0","Not so fast squirt!","Not so fast squirt!",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@0:1","Get me some coffee first, damn youngin. I left it at the beach...","Get me some coffee first, damn youngin. I left it at the beach...",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@1:0","Not so fast squirt!","Not so fast squirt!",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@1:1","Get me some coffee- Already grabbed it, eh?","Get me some coffee- Already grabbed it, eh?",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@1:2","Hmph, already cold.","Hmph, already cold.",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@2:0","Finally my damn coffee… Took you long enough.","Finally my damn coffee… Took you long enough.",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@2:1","Would you leave me alone already!?","Would you leave me alone already!?",
"Map/Village 8Puzzle/STile (3)/Objects/Archibald@3:0","Leave me alone, kid.","Leave me alone, kid.",
"Map/Village 8Puzzle/STile (4)/Objects/Kevin@0:0","Help! My buoys have gotten tangled up. Mind untanglin' them for me?","Help! My buoys have gotten tangled up. Mind untanglin' them for me?",
"Map/Village 8Puzzle/STile (4)/Objects/Kevin@1:0","Thanks a bundle! I don't have much, but you can have this strange junk I fished up.","Thanks a bundle! I don't have much, but you can have this strange junk I fished up.",
"Map/Village 8Puzzle/STile (4)/Objects/Kevin@2:0","I'm heading to the beach soon. Rumor is there are new fish in the water.","I'm heading to the beach soon. Rumor is there are new fish in the water.",
"Map/Village 8Puzzle/STile (4)/Objects/Kevin@3:0","Was gonna hit the ocean soon, but my boating license expired.","Was gonna hit the ocean soon, but my boating license expired.",
"Map/Village 8Puzzle/STile (4)/Objects/Kevin@4:0","You've got your license! Hurry on now, let's set sail!","You've got your license! Hurry on now, let's set sail!",
"Map/Village 8Puzzle/STile (4)/Objects/Kevin@5:0","...","...",
"Map/Village 8Puzzle/STile (5)/All Tile Maps/House Tile Maps/Decorations/Dear Player Sign@0:0","Dear Player,","Dear Player,",
"Map/Village 8Puzzle/STile (5)/All Tile Maps/House Tile Maps/Decorations/Dear Player Sign@0:1","No, this cat is not used in the upcoming puzzles.","No, this cat is not used in the upcoming puzzles.",
"Map/Village 8Puzzle/STile (5)/All Tile Maps/House Tile Maps/Decorations/Dear Player Sign@0:2","However, we will permit you to keep him for emotional support.","However, we will permit you to keep him for emotional support.",
"Map/Village 8Puzzle/STile (5)/All Tile Maps/House Tile Maps/Decorations/Dear Player Sign@0:3","Please use him responsibly.","Please use him responsibly.",
"Map/Village 8Puzzle/STile (5)/All Tile Maps/House Tile Maps/Decorations/Dear Player Sign@0:4","Sincerely, the Devs.","Sincerely, the Devs.",
"Map/Village 8Puzzle/STile (5)/Objects/Juliet@0:0","My lover, my darling! Please bring him back lest I stab myself!","My lover, my darling! Please bring him back lest I stab myself!",
"Map/Village 8Puzzle/STile (5)/Objects/Juliet@1:0","Romeo? Wherefore art thou Romeo?","Romeo? Wherefore art thou Romeo?",
"Map/Village 8Puzzle/STile (5)/Objects/Juliet@2:0","Oh Romeo! You 
will never 
leave my 
sight again.","Oh Romeo! You 
will never 
leave my 
sight again.",
"Map/Village 8Puzzle/STile (5)/Objects/Juliet@3:0","Yes, oh
my God, yes!","Yes, oh
my God, yes!",
"Map/Village 8Puzzle/STile (5)/Objects/Juliet@4:0","...","...",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@0:0","Somethin's wrong. The fish aren't coming upstream anymore. I'll be out of a job!","Somethin's wrong. The fish aren't coming upstream anymore. I'll be out of a job!",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@0:1","I could really use a fish right now, fish right now.","I could really use a fish right now, fish right now.",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@1:0","Ah, the ocean! If only I knew how to fish the open seas.","Ah, the ocean! If only I knew how to fish the open seas.",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@1:1","But alas, I can only fish the river by the waterfall.","But alas, I can only fish the river by the waterfall.",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@2:0","The river's together... is there a traffic jam downstream?","The river's together... is there a traffic jam downstream?",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@2:1","Something fishy is going on here...","Something fishy is going on here...",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@3:0","The fish are coming back! Time to whip out the old pole.","The fish are coming back! Time to whip out the old pole.",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@4:0","Heard there was one in the caves, but also pirates. Scary!","Heard there was one in the caves, but also pirates. Scary!",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@5:0","Good luck out there, say hi to <var>Cat</var>.","Good luck out there, say hi to <var>Cat</var>.",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@5:1","I'm going back to fishing the river.","I'm going back to fishing the river.",
"Map/Village 8Puzzle/STile (6)/Objects/Pierre@6:0","...","...",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@0:0","Hey there! Have you seen what's been going on lately?","Hey there! Have you seen what's been going on lately?",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@0:1","Chunks of land missing everywhere, and these little slider pieces popping out of the ground!","Chunks of land missing everywhere, and these little slider pieces popping out of the ground!",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@0:2","They've all been resurfacing ever since the earthquake last night.","They've all been resurfacing ever since the earthquake last night.",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@0:3","I'm not sure how to make sense of it. Maybe I should go digging for them!","I'm not sure how to make sense of it. Maybe I should go digging for them!",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@1:0","Oh! Where'd you find that? That Archeologist was looking all over for that fragment.","Oh! Where'd you find that? That Archeologist was looking all over for that fragment.",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@2:0","Did you hear? The railway in the Chloro Caves was shut down.","Did you hear? The railway in the Chloro Caves was shut down.",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@2:1","Apparently the bridge was destroyed.","Apparently the bridge was destroyed.",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@2:2","Those scientists must be quite heated right now...","Those scientists must be quite heated right now...",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@3:0","Did you hear? There's fighting at the Flats down east apparently.","Did you hear? There's fighting at the Flats down east apparently.",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@3:1","Like, I've heard rumors of the military being deployed there!","Like, I've heard rumors of the military being deployed there!",
"Map/Village 8Puzzle/STile (7)/Objects/Nemsy@3:2","I wonder if they're the ones behind all this... or whoever they're fighting.","I wonder if they're the ones behind all this... or whoever they're fighting.",
"Map/Village 8Puzzle/STile (8)/Objects/Chad@0:0","Out of my way! Do you know who you're talking to?","Out of my way! Do you know who you're talking to?",
"Map/Village 8Puzzle/STile (8)/Objects/Chad@0:1","I… am Chad! And the credit for returning this fragment is mine!","I… am Chad! And the credit for returning this fragment is mine!",
"Map/Village 8Puzzle/STile (8)/Objects/Chad@0:2","Up here, short stuff. Ha! You can't even jump.","Up here, short stuff. Ha! You can't even jump.",
"Map/Village 8Puzzle/STile (8)/Objects/Chad@0:3","What are you gonna do? Gonna cry?","What are you gonna do? Gonna cry?",
"Map/Village 8Puzzle/STile (8)/Objects/Chad@0:4","Nothing can bring me down!","Nothing can bring me down!",
"Map/Village 8Puzzle/STile (8)/Objects/Chad@1:0","Woah, what's shaking?","Woah, what's shaking?",
"Map/Village 8Puzzle/STile (8)/Objects/Chad@2:0","My neck! My back! How will I get this to the archeologist now?","My neck! My back! How will I get this to the archeologist now?",
"Map/Village 8Puzzle/STile (8)/Objects/Chad@2:1","You better not take my credit. I worked hard to become a Research Assistant.","You better not take my credit. I worked hard to become a Research Assistant.",
"Map/Village 8Puzzle/STile (8)/Objects/Chad@3:0","What? How dare you take my credit?!","What? How dare you take my credit?!",
"Map/Village 8Puzzle/STile (8)/Objects/Chad@4:0","You won't beat me again, explorer. Chad never loses twice in a row!","You won't beat me again, explorer. Chad never loses twice in a row!",
"Map/Village 8Puzzle/STile (8)/Objects/Chad@5:0","You won't beat me again, explorer. Chad never loses twice in a row!","You won't beat me again, explorer. Chad never loses twice in a row!",
"Map/Village 8Puzzle/STile (8)/Objects/Chad@6:0","...","...",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Boulangerie/Carlton@0:0","Ah, I can finally get back to baking... and...","Ah, I can finally get back to baking... and...",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Boulangerie/Carlton@0:1","Hunting for all nine of the rarest Breadge... and...","Hunting for all nine of the rarest Breadge... and...",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Boulangerie/Carlton@0:2","Looking for The Legendary Burger!","Looking for The Legendary Burger!",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Boulangerie/Carlton@1:0","Woah! You got a piece of Breadge?!","Woah! You got a piece of Breadge?!",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Boulangerie/Carlton@1:1","Rumor says that combining all nine can make something to rival the taste of The Legendary Burger.","Rumor says that combining all nine can make something to rival the taste of The Legendary Burger.",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Boulangerie/Carlton@1:2","Good luck on your quest, sous-chef!","Good luck on your quest, sous-chef!",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Boulangerie/Carlton@2:0","WoAH! ALL NINE PIECES!!","WoAH! ALL NINE PIECES!!",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Boulangerie/Carlton@2:1","Maybe you were The Legendary Burger the whole time...","Maybe you were The Legendary Burger the whole time...",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@0:0","Goodness, hello! The folks here call me Cathy.","Goodness, hello! The folks here call me Cathy.",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@0:1","I have a bit of a connection with pets.","I have a bit of a connection with pets.",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@0:2","Your cat? <var>Cat</var>..? Let me try and sense where they are.","Your cat? <var>Cat</var>..? Let me try and sense where they are.",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@0:3","Somewhere... to the East... beyond the Ocean...","Somewhere... to the East... beyond the Ocean...",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@0:4","It feels like there are a number of people around <var>Cat</var>. They're being brought somewhere?","It feels like there are a number of people around <var>Cat</var>. They're being brought somewhere?",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@0:5","They're being stuffed in a bag? Thrown into the back of a truck?! Oh dear!","They're being stuffed in a bag? Thrown into the back of a truck?! Oh dear!",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@0:6","Or maybe my senses are getting mixed up with what I saw on the tele last night.","Or maybe my senses are getting mixed up with what I saw on the tele last night.",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@0:7","Sorry dear, I'm not of much help. Please visit whenever you need some Cathy Time though.","Sorry dear, I'm not of much help. Please visit whenever you need some Cathy Time though.",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@0:8","Or if you find my 3 cats!","Or if you find my 3 cats!",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@1:0","Autumn and Tofu should still be out somewhere...","Autumn and Tofu should still be out somewhere...",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@10:0","All the cats are back! Here, have some breadge as thanks.","All the cats are back! Here, have some breadge as thanks.",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@11:0","Good luck finding <var>Cat</var> and thanks for the help.","Good luck finding <var>Cat</var> and thanks for the help.",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@2:0","Mittens and Tofu should still be out somewhere...","Mittens and Tofu should still be out somewhere...",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@3:0","Mittens and Autumn should still be out somewhere...","Mittens and Autumn should still be out somewhere...",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@4:0","Tofu likes to hang out with the mayor.","Tofu likes to hang out with the mayor.",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@5:0","Autumn likes to hang out in the storage building a bit south.","Autumn likes to hang out in the storage building a bit south.",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@6:0","Mittens like to poke around the bakery looking for food sometimes.","Mittens like to poke around the bakery looking for food sometimes.",
"Map/Village 8Puzzle/STile (9)/All Tile Maps/House Tile Maps/Decorations/Small House/Cathy@7:0","Mittens! Thank you for returning him!","Mittens! Thank you for returning him!",
