"Slider.v1.0.17","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"UICanvas/OptionsMenu/CheatsManager@NoCollectibles:0","No Collectibles!","_har_No Collectibles!_har_","",
"UICanvas/OptionsMenu/CheatsManager@RecallAnchor:0","Recall Anchor","_har_Recall Anchor_har_","",
"UICanvas/OptionsMenu/CheatsManager@SpawnAnchor:0","Spawn Anchor","_har_Spawn Anchor_har_","",
"UICanvas/OptionsMenu/CheatsManager@Teleport:0","Teleport","_har_Teleport_har_","",
"UICanvas/OptionsMenu/CheatsManager@Undo:0","Undo","_har_Undo_har_","",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/Cheats Text","Cheats","_har_Cheats_har_","family:PixelTitanZero;size:24;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Alert","Warning! Cheats cannot be undone!
We have a guide with lots of hints too.
Feel free to use these if you get stuck.","_har_Warning! Cheats cannot be undone!
We have a guide with lots of hints too.
Feel free to use these if you get stuck._har_","family:PixelUnicode;size:12;lineSpacing:-15;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Button Holder (1)/Scroll Boots Button/Text","Scroll+Boots","_har_Scroll+Boots_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Button Holder (1)/Spawn Anchor Button/Text","Spawn Anchor","_har_Spawn Anchor_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Button Holder (2)/NoClip Button/Text","NoClip","_har_NoClip_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Button Holder (2)/Respawn Button/Text","Respawn","_har_Respawn_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Collectible Selector Button Pair/Give Button/Text","Give","_har_Give_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Collectible Selector Button Pair/Holder/Label","Collectible Name","_har_Collectible Name_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Dev Console/Label","Dev Console","_har_Dev Console_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Teleport Selector Button Pair/Holder/Label","Village","_har_Village_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Teleport Selector Button Pair/TP Button/Text","Teleport","_har_Teleport_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Larger Deadzone/Label","Larger Deadzone","_har_Larger Deadzone_har_","family:PixelUnicode;size:14;lineSpacing:-30;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Alt View","Alt View","_har_Alt View_har_","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Button East","Back","_har_Back_har_","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Button North","Cycle","_har_Cycle_har_","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Left Aligned/Button South","Action","_har_Action_har_","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Right Aligned/Artifact","Artifact","_har_Artifact_har_","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Right Aligned/Move","Move","_har_Move_har_","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controller Panel/Text/Right Aligned/Pause","Pause","_har_Pause_har_","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Controls Text","Keyboard","_har_Keyboard_har_","family:PixelTitanZero;size:24;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Action/Control Label","Action","_har_Action_har_","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Alt View/Control Label","Alt View","_har_Alt View_har_","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Cycle Equip/Control Label","Cycle","_har_Cycle_har_","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Keyboard Only/Label","Keyboard Only","_har_Keyboard Only_har_","family:PixelUnicode;size:14;lineSpacing:-30;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Down/Control Label","Down","_har_Down_har_","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Left/Control Label","Left","_har_Left_har_","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Right/Control Label","Right","_har_Right_har_","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Up/Control Label","Up","_har_Up_har_","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Open/Close Artifact/Control Label","Artifact","_har_Artifact_har_","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Pause/Control Label","Pause","_har_Pause_har_","family:PixelUnicode;size:14;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/ResetButtonHolder/Reset to Defaults Button/Text","Reset Keybinds","_har_Reset Keybinds_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Rebinding Overlay/Text","Rebinding <control/>...","_har_Rebinding <control/>..._har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel@Scheme:0","Keyboard","_har_Keyboard_har_","",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel@Scheme:1","Controller","_har_Controller_har_","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/ApplySettingsHolder/ApplySettings Button/Text","Save Changes","_har_Save Changes_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/Display Text","Display","_har_Display_har_","family:PixelTitanZero;size:24;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@0","30","_har_30_har_","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@1","60","_har_60_har_","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@2","75","_har_75_har_","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@3","120","_har_120_har_","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@4","144","_har_144_har_","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@5","240","_har_240_har_","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown@6","Uncapped","_har_Uncapped_har_","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Label","FPS","_har_FPS_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FullScreen Toggle/Label","Full Screen","_har_Full Screen_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@0","1280 x 720","_har_1280 x 720_har_","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@1","1280 x 800","_har_1280 x 800_har_","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@2","1366 x 768","_har_1366 x 768_har_","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@3","1920 x 1080","_har_1920 x 1080_har_","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@4","2560 x 1440","_har_2560 x 1440_har_","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown@5","Native","_har_Native_har_","",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Label","Resolution","_har_Resolution_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/VSync/Label","VSync","_har_VSync_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Big Text/Label","Bigger Text","_har_Bigger Text_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Contrast Text/Label","Text Background","_har_Text Background_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Hide Cursor/Label","Hide Cursor","_har_Hide Cursor_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Pixel Font Alert/Label","Setting will be applied once you restart or return to main menu...","_har_Setting will be applied once you restart or return to main menu..._har_","family:PixelUnicode;size:12;lineSpacing:-15;",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Pixel Font/Label","Pixel Font","_har_Pixel Font_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/List/Screen Shake Slider/Label","Screen Shake","_har_Screen Shake_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/GeneralOptionsPanel/Options Text","Options","_har_Options_har_","family:PixelTitanZero;size:24;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/FeedbackButtonHolder/Feedback Button/Text","Give Feedback (web)","_har_Give Feedback (web)_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/List/Colorblind Mode/Label","Colorblind Mode","_har_Colorblind Mode_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/List/Mini Player Icon/Label","Mini Player Icon","_har_Mini Player Icon_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/List/Smoother FPS/Label","Smoother FPS (Experimental)","_har_Smoother FPS (Experimental)_har_","family:PixelUnicode;size:16;lineSpacing:-34;",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/Misc Options Text","Miscellaneous","_har_Miscellaneous_har_","family:PixelTitanZero;size:24;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/MiscOptionsPanel/ResetButtonHolder/Reset to Defaults Button/Text","Reset All Settings","_har_Reset All Settings_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Ambience Slider/Label","Ambience","_har_Ambience_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Master Slider/Label","Master","_har_Master_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Music Slider/Label","Music","_har_Music_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Play Audio When Unfocused/Label","Audio when
Unfocused","_har_Audio when
Unfocused_har_","family:PixelUnicode;size:16;lineSpacing:-34;",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/List/Sound Slider/Label","Sound","_har_Sound_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/SoundPanel/Sound Text","Sound","_har_Sound_har_","family:PixelTitanZero;size:24;lineSpacing:0;",
"UICanvas/OptionsMenu/SideNav/Cheats Button/Text","Cheats","_har_Cheats_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/SideNav/Controls Button/Text","Controls","_har_Controls_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/SideNav/Display Button/Text","Display","_har_Display_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/SideNav/Misc Button/Text","Misc","_har_Misc_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/SideNav/Options Button/Text","Options","_har_Options_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/SideNav/Sound Button/Text","Sound","_har_Sound_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/Confirm Button Variant/Text","Confirm","_har_Confirm_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/LeftSaveBackground/Left Save Button/Text","[ Empty ]","_har_[ Empty ]_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/LeftSaveBackground/Left Save Button/Text/ProgressText","1/9","_har_1/9_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/LeftSaveBackground/Left Save Button/Text/TimeText","0h32","_har_0h32_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/MiddleSaveBackground/Middle Save Button/Text","Cat Name","_har_Cat Name_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/MiddleSaveBackground/Middle Save Button/Text/ProgressText","1/9","_har_1/9_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/MiddleSaveBackground/Middle Save Button/Text/TimeText","0h32","_har_0h32_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/ProgressText","Select Save","_har_Select Save_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/RightSaveBackground/Right Save Button/Text","[ Empty ]","_har_[ Empty ]_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/RightSaveBackground/Right Save Button/Text/ProgressText","1/9","_har_1/9_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/SavesPanel/RightSaveBackground/Right Save Button/Text/TimeText","0h32","_har_0h32_har_","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/SavesPanel@Backup:0","Restore a backup?","_har_Restore a backup?_har_","",
"UICanvas/SavesPanel@Delete:0","Delete file?","_har_Delete file?_har_","",
"UICanvas/SavesPanel@Normal:0","Select Save","_har_Select Save_har_","",
"WorldCanvas/Press any Key","[press any key to begin]","_har_[press any key to begin]_har_","family:PixelUnicode;size:0.75;lineSpacing:0;",
"UICanvas/MM Panel/OtherElements/Locale Selector/Dropdown","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/MM Panel/OtherElements/Version","","","family:PixelUnicode;size:7;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/E/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/I/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/O/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/P/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/Q/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/R/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/T/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/U/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/W/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 1/Y/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/A/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/D/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/F/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/G/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/H/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/J/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/K/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/L/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/S/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/B/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/C/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/M/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/N/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/V/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/X/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/Z/Text","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Action/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Alt View/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Cycle Equip/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Down/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Left/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Right/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Up/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Open/Close Artifact/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Pause/Binding/Text","","","family:PixelUnicode;size:14;lineSpacing:-45;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown","","","family:PixelUnicode;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown","","","family:PixelUnicode;size:16;lineSpacing:0;",
